Top_N,Precision,Recall,F1_Score,Patient_Count
1,1.000000,0.162903,0.268161,267
2,0.998127,0.322060,0.458166,267
3,0.991261,0.473103,0.597860,267
4,0.968165,0.597928,0.688150,267
5,0.931835,0.695350,0.740010,267
