Top_N,Precision,Recall,F1_Score,Patient_Count
1,0.195745,0.158688,0.169899,470
2,0.157957,0.245051,0.184996,421
3,0.147222,0.333102,0.196887,360
4,0.147213,0.430894,0.211614,287
5,0.148000,0.514583,0.222060,200
