Top_N,Precision,Recall,F1_Score,Patient_Count
1,0.811508,0.228860,0.327732,504
2,0.575397,0.321333,0.372007,504
3,0.445328,0.365932,0.363581,503
4,0.387500,0.411073,0.361590,500
5,0.353753,0.455506,0.361996,493
