Top_N,Precision,Recall,F1_Score,Patient_Count
1,0.827309,0.351838,0.457015,498
2,0.572581,0.449841,0.461553,496
3,0.439024,0.496837,0.427592,492
4,0.368070,0.537941,0.401831,487
5,0.317745,0.567989,0.376400,479
