Top_N,Precision,Recall,F1_Score,Patient_Count
1,0.906367,0.222472,0.343471,267
2,0.743446,0.356591,0.458934,267
3,0.622971,0.445496,0.493954,267
4,0.547753,0.523011,0.509891,267
5,0.490637,0.584955,0.508292,267
