Top_N,Precision,Recall,F1_Score,Patient_Count
1,0.15789473684210525,0.07330827067669173,0.08684210526315789,19
2,0.13157894736842105,0.09398496240601503,0.0935672514619883,19
3,0.15789473684210523,0.21679197994987467,0.16340852130325814,19
4,0.14473684210526316,0.2506265664160401,0.1647983595352016,19
5,0.12631578947368421,0.2769423558897243,0.15810359231411866,19
