Top_N,Precision,Recall,F1_Score,Patient_Count
1,0.3305785123966942,0.1904999189758548,0.22495080676898857,121
2,0.2727272727272727,0.3021160805920164,0.26468340272168017,121
3,0.25895316804407714,0.41176200507751304,0.2920515664317317,121
4,0.24586776859504134,0.5045994706422513,0.3056575197071065,121
5,0.21983471074380168,0.5433276616431697,0.2907034575198427,121
