Top_N,Precision,Recall,F1_Score,Patient_Count
1,0.25,0.25,0.25,4
2,0.125,0.25,0.16666666666666666,4
3,0.16666666666666666,0.5,0.25,4
4,0.125,0.5,0.2,4
5,0.1,0.5,0.16666666666666669,4
