Top_N,Precision,Recall,F1_Score,Patient_Count
1,0.972441,0.149912,0.245194,508
2,0.945866,0.279787,0.405759,508
3,0.898551,0.377967,0.501774,506
4,0.858696,0.464791,0.570192,506
5,0.821739,0.542079,0.619187,506
