Gene	Frequency
N4BP2	15
KIF1B	15
TIAM2	15
DSPP	14
EVC	14
LRRK1	14
SRGAP3	14
KIAA1429	14
CPS1	14
INSRR	14
CADPS2	14
LAMB2	14
PLCB3	14
CENPE	14
PCDHA10	14
BRWD1	14
KIAA1107	14
COL1A2	14
FBLN2	14
GRIN3A	14
FGD6	14
DNM3	14
FKBP15	14
HIP1R	14
TNK2	14
WNK4	14
PLEKHA5	14
ROBO3	14
HELZ	14
GBF1	14
HECW2	14
ZFR2	14
ATP10B	14
ITGA10	14
GPSM2	14
XRN1	14
NCOA2	14
IQCA1	14
TMEM132B	14
ITGAX	14
FANCA	14
EFEMP1	14
CLASP1	14
AHRR	14
MTMR4	14
USP24	14
NAV1	14
CHST2	14
PTPRN2	14
DUOX1	14
PAPLN	14
MST1R	14
KCNQ3	14
AR	14
EPS8L1	14
PITPNM1	14
ESPNL	14
KIAA1009	14
SEMA3F	14
MAGEC3	14
SNX13	14
SEMA3C	14
PDS5B	14
MAP3K9	14
KIAA0430	14
ZNF91	14
ENAM	14
HGF	14
MYT1L	14
NID1	14
CLSTN2	14
PCDHGA4	14
NRG3	14
MKRN3	14
XIRP1	14
NLRP4	14
CDH2	14
ELMO1	14
GUCY2F	14
STAG1	14
GRIK4	14
INPPL1	14
MECOM	14
CCDC108	14
EPRS	14
NOD2	14
STAB2	14
RAPGEF2	14
AMOTL1	14
TRPM1	14
RBP3	14
PPP1R3A	14
MARK2	14
ADAM7	14
ADAMTS5	14
ULK1	14
TNKS	14
PCDHB3	14
ERN2	14
OSMR	14
ARHGEF15	14
SLCO3A1	14
LRRC16B	14
PCDHB15	14
ITSN2	14
ANKAR	14
TNIK	14
CRMP1	14
ERC2	14
CASC5	14
NLRP10	14
GCC2	13
PCDH12	13
GIMAP8	13
NLRP3	13
KIAA2018	13
ARHGAP22	13
ALS2CL	13
MGAT3	13
FMNL3	13
GATAD2A	13
ITGA7	13
PGR	13
ABR	13
SCAPER	13
PCDH8	13
JAG2	13
PIK3R6	13
CNTN4	13
IGSF3	13
ZNF516	13
TTLL12	13
PRRT2	13
CILP	13
ARHGEF18	13
SMARCA2	13
MAP4K4	13
MYBPC3	13
TSC1	13
CAMSAP1	13
TP73	13
CUX1	13
ATP2B3	13
USP28	13
PCDHB12	13
SUPT6H	13
PLXNB3	13
SHROOM2	13
FCAMR	13
TRO	13
NIN	13
ALX4	13
NTRK2	13
VWA5B2	13
UNC45B	13
MYO5C	13
IFI16	13
DHX30	13
MVK	13
HELB	13
PTPRU	13
SH3TC1	13
LRBA	13
WDR81	13
KIAA0319L	13
MCC	13
CHRD	13
KNTC1	13
LRRC66	13
DEPDC5	13
PEAR1	13
SYNJ2	13
ASAP2	13
RALGAPB	13
CEP250	13
LEPR	13
SBF2	13
PCDHGB1	13
CALD1	13
TRIM66	13
CRTC1	13
HHIP	13
C3	13
TCEB3B	13
TLL1	13
PYGB	13
TIE1	13
PPP4R4	13
CTNND2	13
JAKMIP1	13
LPPR4	13
MYH11	13
AMPH	13
DOPEY2	13
CTNNA3	13
PIK3CG	13
KCTD3	13
TRPM8	13
SIN3A	13
RALGAPA2	13
FANCM	13
NOTCH4	13
CASKIN2	13
CHD1	13
LRP4	13
SMARCA1	13
ARHGAP28	13
ADAMTS10	13
DHX9	13
RFX5	13
SLC44A5	13
ULK2	13
ZNF808	13
ZCCHC11	13
ANKRD26	13
TRAPPC9	13
RBM15	13
TET2	13
CPSF1	13
CCDC73	13
POSTN	13
ARHGAP11A	12
CLIP2	12
SEMA6A	12
PCBP1	12
DGKI	12
MCF2	12
CCDC37	12
CNTN2	12
ZC3H18	12
RUNX1T1	12
MTTP	12
ROBO4	12
HECTD1	12
RNF17	12
NOTCH2	12
PLK1	12
ATP2B4	12
RLTPR	12
CLSPN	12
KIAA0947	12
GRIN1	12
DOCK10	12
PLXNC1	12
OSBPL7	12
SIPA1L2	12
CIITA	12
ZHX2	12
SYNPO	12
ANKRD17	12
ZNF451	12
BRD8	12
OVCH1	12
ZNF236	12
LRRIQ3	12
GRIA4	12
SCAND3	12
SLFN13	12
TGFBR2	12
TRPC7	12
N4BP2L2	12
TEX14	12
CTCF	12
PLB1	12
ITGA11	12
JUP	12
LRRCC1	12
NFATC4	12
BPTF	12
JARID2	12
INHBA	12
UBE3B	12
SRGAP1	12
MCM7	12
ADAMTS12	12
CDH13	12
MED13L	12
RNF111	12
PHACTR1	12
TPTE	12
STAT1	12
MAST2	12
SGSM1	12
ZNF835	12
MET	12
C20orf26	12
LOXL4	12
XKR6	12
PCSK7	12
TUBGCP6	12
PPP1R9A	12
PLCH2	12
LPPR5	12
CDHR3	12
NEK10	12
LRRC16A	12
KIAA0922	12
CCNA1	12
MYOF	12
IBTK	12
AFF1	12
MAP1S	12
ABCA9	12
NLRX1	12
DGKD	12
PRTG	12
BMPER	12
SHOX	12
FSTL4	12
FGFR3	12
HSPA12A	12
NEDD9	12
VLDLR	12
MON1B	12
KCNU1	12
CDH12	12
ATR	12
PI4KA	12
KIF16B	12
ZNF418	12
PLCG1	12
GRIA1	12
SH3PXD2A	12
ZDHHC8	12
LRFN2	12
PZP	12
NCKAP1L	12
KIF2B	12
LRRC37A2	12
WIZ	12
RAPGEF6	12
NOVA1	12
CD19	12
PHKB	12
PCDHGB6	12
PABPC4L	12
USP43	12
ZNF512B	12
CDON	12
NOX4	12
SGOL2	12
OTUD4	12
UNC13B	12
EPHA7	12
ARHGAP30	12
SALL3	12
GRM3	12
SRCIN1	12
ZBTB46	12
BAZ1A	12
ZNF407	12
WDR90	12
HDX	12
TBX5	12
PDE2A	12
UNC13A	12
ADAMTS17	12
PLIN4	12
EPHA4	11
C10orf90	11
SAP130	11
KCNG2	11
UBR1	11
NPAS3	11
PTCHD3	11
G3BP1	11
TRIM42	11
FHDC1	11
TGM4	11
CEP120	11
PASK	11
PELP1	11
MGAT4C	11
B4GALNT4	11
FZD10	11
OR4M2	11
KRT6C	11
RPS6KA2	11
MTA1	11
PDE1C	11
IGSF1	11
PRDM15	11
SLC1A6	11
ZBTB7C	11
DHX29	11
ASAP1	11
UHRF2	11
POP1	11
RFX4	11
DDX54	11
NKAPL	11
MAP3K5	11
PLEKHA7	11
FNDC3B	11
CLTCL1	11
ATP13A3	11
PFAS	11
KCNH4	11
LINGO1	11
E4F1	11
SHANK3	11
ZSCAN20	11
KCNG1	11
PLAT	11
ZNF398	11
ELFN1	11
TGIF1	11
TCF12	11
SEZ6	11
SMAD2	11
MYBPC2	11
ZNF629	11
RPRD2	11
EIF2AK4	11
SSTR4	11
EXOC4	11
KLHL22	11
COL17A1	11
RALGAPA1	11
ABCC5	11
ALG13	11
ASXL2	11
CNNM1	11
WDR66	11
TRIM9	11
LRRTM1	11
EPHB2	11
PSMD1	11
ATP2A2	11
GLB1L2	11
SEMA6C	11
FAM47B	11
KLKB1	11
CRB1	11
CBFA2T3	11
ZNF644	11
CCDC158	11
AASDH	11
RRP12	11
HEXDC	11
GRID2	11
FOXI1	11
TJP3	11
TAF3	11
PIP5K1C	11
SMG1	11
BTAF1	11
TTLL4	11
PHLPP1	11
ARHGAP32	11
GDF5	11
MAP7D3	11
NEO1	11
ZNF334	11
PCDHGB7	11
EGFLAM	11
MBD5	11
C6	11
LTBP3	11
ARHGAP42	11
PNPLA6	11
CIT	11
ECEL1	11
FILIP1	11
NLGN4Y	11
NOS2	11
EHMT2	11
ADCY6	11
SLFN5	11
FYCO1	11
ABTB1	11
ECE2	11
ITGAM	11
HMHA1	11
ABL2	11
RTEL1	11
CHRM2	11
BAZ2A	11
NLRP14	11
ARHGAP21	11
CCKBR	11
PABPC1L	11
SATB2	11
TLR9	11
ATAD2	11
PRDM2	11
CNTNAP1	11
ACIN1	11
MAST3	11
SV2A	11
EDNRB	11
DYNC1I1	11
PCSK1	11
RPTOR	11
DZIP1	11
IQCE	11
PLA2G6	11
SEZ6L	11
ABCA5	11
ANO2	11
CCDC132	11
C6orf118	11
FLRT1	11
PTGFRN	11
PRG4	11
COL9A1	11
SMARCAD1	11
CACNA2D4	11
ERBB3	11
TUBB8	11
SCAF1	11
MED14	11
TAP2	11
KIF6	11
TRPC5	11
FCRL5	11
NUP155	11
WNK1	11
UBASH3A	11
ACVR1B	11
GEMIN5	11
MYOM2	11
ZNF615	11
L3MBTL4	11
C5	11
EBF1	10
NAP1L2	10
RASEF	10
ESRP1	10
ZBTB4	10
PTGER3	10
TMEM63C	10
ITSN1	10
ADAMTS19	10
C9orf171	10
FLT1	10
RBM10	10
CLCN7	10
EPB41	10
TEX10	10
PLD2	10
GAK	10
GANAB	10
PHLDB1	10
SYNRG	10
OXR1	10
TAF1	10
ATRNL1	10
PAPL	10
ZCCHC6	10
PUS7	10
ZNF880	10
UNC5A	10
PDE9A	10
XKR7	10
ENPEP	10
ATP13A1	10
ROCK2	10
DIAPH3	10
ABCB5	10
WSCD2	10
CDH6	10
KDM5B	10
PCF11	10
SNTG1	10
TBC1D25	10
ALPK3	10
LEPREL2	10
NCAPG	10
KRT31	10
HTR2C	10
GAPVD1	10
SLC12A3	10
POM121L12	10
ANXA6	10
POU4F2	10
C7orf63	10
FAM9A	10
SETDB1	10
IQSEC1	10
DHX36	10
MADD	10
UNC5B	10
ZBTB7B	10
ZDHHC7	10
CEP78	10
RALGDS	10
AXIN1	10
F2	10
ITIH1	10
ETV6	10
ZNF513	10
POM121C	10
AHCTF1	10
IGF1R	10
CTSC	10
IFT140	10
KDM5C	10
MCOLN1	10
ZNF775	10
SGOL1	10
ZSWIM5	10
FKBP10	10
KIAA1324	10
NLRP13	10
NWD1	10
CDH16	10
TUBGCP2	10
ATXN7	10
TRIM3	10
SCIN	10
B4GALNT1	10
HIPK2	10
TRPV5	10
DENND4C	10
CNTROB	10
IARS2	10
WDR63	10
OR5D18	10
TDRD7	10
IRS1	10
OR6P1	10
SLC4A8	10
CDH1	10
ADD1	10
TSHZ1	10
KIRREL3	10
TMEM63B	10
TRIM60	10
IL21R	10
PPP2R2C	10
EPHA8	10
EGR2	10
SOS1	10
USP48	10
ZNF445	10
ACTN4	10
SLC6A2	10
CLSTN3	10
HMGXB3	10
USP5	10
PWP2	10
MASTL	10
HIC2	10
CAMK2G	10
FUT1	10
ZFYVE16	10
MATR3	10
MRVI1	10
LRP3	10
NOL4	10
PER3	10
PITPNM2	10
SMG6	10
FBXO24	10
ADD3	10
ZNF331	10
FGD5	10
CHAT	10
MAD1L1	10
FGFR2	10
RGAG1	10
KNDC1	10
RPS6KA6	10
RGL3	10
PAX6	10
TGFBR1	10
PHF3	10
DIAPH1	10
AGBL5	10
CUL7	10
GZF1	10
FGD2	10
NCAPD2	10
KLC2	10
ADAM10	10
AMPD2	10
ZNF16	10
RNF20	10
TMC6	10
ZFP28	10
FANCD2	10
CYP26B1	10
RNF123	10
ADAM12	10
THSD4	10
MOV10	10
DENND5B	10
PTPRN	10
GLDC	10
ITGB6	10
CELF4	10
PKN3	10
SAMHD1	10
RAD54L2	10
EHD2	10
CCDC110	10
CASP8	10
CNTN3	10
HDAC5	10
CHD2	10
MGAT5	10
POTEE	10
LRRTM4	10
XRCC5	10
CLCA1	10
STXBP3	10
SLC27A6	10
UGT1A4	10
ZNF836	10
DDX60	10
USP8	10
GYS1	10
LRP6	10
ASB18	10
DHX38	10
UBA6	10
PARP6	10
LILRB2	10
ITGA4	10
TEX2	10
ITGA6	10
KIAA1522	10
BBS9	10
AMIGO3	10
PDZRN4	10
KDM6A	10
ANPEP	10
ADAMTS1	10
SCUBE3	10
ATP6V0A4	10
MITF	10
SSFA2	10
RASGRF2	10
GRID2IP	10
KPRP	10
SENP7	10
ZEB1	10
TBX20	10
GPR125	10
GTDC1	10
OLFML2A	10
MYOM3	10
NRAS	9
ENPP2	9
KHSRP	9
TUBGCP5	9
KIF24	9
ZZZ3	9
DOK1	9
ZNF99	9
ADAM18	9
OPRM1	9
KIF7	9
MEPCE	9
EFHB	9
IL7R	9
RUFY1	9
ZNF7	9
ITGA3	9
SLC44A4	9
ADNP2	9
GRN	9
RBL1	9
MPL	9
NR3C2	9
PGM1	9
KIF5C	9
RTKN2	9
FAM194A	9
NOL8	9
ANGPTL1	9
CNN2	9
SNRNP200	9
DNTTIP2	9
RC3H2	9
SLC45A4	9
ZFPM1	9
ATP11A	9
KIF5B	9
BICD2	9
SEMA4A	9
SIK2	9
CCNL1	9
NELL1	9
AKAP8	9
CDC25B	9
EXOC3	9
MMEL1	9
RTP1	9
CLCN6	9
MYC	9
ATIC	9
RXRA	9
BARHL2	9
VPS18	9
GP6	9
FBXL20	9
SLC38A10	9
GLG1	9
NUP153	9
CCDC67	9
SLFN12L	9
ZFPM2	9
DDX11	9
THRAP3	9
DNER	9
DMPK	9
FAM83C	9
SIN3B	9
MSH6	9
DUSP16	9
PAXIP1	9
FBXO11	9
SHPK	9
FAM65B	9
KIAA1586	9
VSIG10L	9
ANKRD53	9
BAZ2B	9
HNRNPL	9
KIF3A	9
SLCO2A1	9
KCNF1	9
IL18RAP	9
CPNE8	9
KCNH6	9
RNASEL	9
ZNF148	9
NCOA5	9
PLA2G4A	9
SGK223	9
SLC12A6	9
FAM73A	9
MARK3	9
VPS33A	9
NAALAD2	9
SLC43A3	9
SEMA4C	9
PDXDC1	9
RNF6	9
NDST3	9
BCL6	9
JAK3	9
PLCL2	9
TRPM4	9
ZBTB5	9
CC2D1B	9
PPFIA3	9
GTF2IRD1	9
OPRD1	9
POMGNT1	9
POLG	9
COL9A2	9
TMEM132A	9
ZNF532	9
ZNF135	9
ZNF793	9
RAB11FIP4	9
DCX	9
KLHL30	9
CCDC129	9
CYP4F12	9
ADAMTS3	9
C20orf194	9
KLHL14	9
OCRL	9
KTN1	9
PADI1	9
PLEKHH3	9
PIK3CD	9
HTATSF1	9
RASA2	9
MEI1	9
CAPN6	9
IGF2BP1	9
ANKRD52	9
UGT3A2	9
DBN1	9
HK3	9
TBX4	9
DTX4	9
HIVEP3	9
TBC1D16	9
PRPF3	9
AGAP2	9
SYNPO2	9
CCBE1	9
ZMYM3	9
ODF2	9
TMTC2	9
NDST1	9
EXOC1	9
ZNF507	9
LRGUK	9
CES3	9
TNS4	9
THOC1	9
DPYSL2	9
CYP1B1	9
PCSK4	9
CPZ	9
CCNF	9
UNC5C	9
ATP4A	9
DOCK7	9
SEL1L3	9
MARK1	9
EHBP1	9
TRIM56	9
PLEKHG6	9
FASTKD1	9
PMS1	9
OTOP1	9
CCDC87	9
DDX43	9
SATB1	9
MFGE8	9
HERC6	9
WDR64	9
ANKRD35	9
SMO	9
GPC6	9
SPATC1	9
HSPA1L	9
SCG2	9
AGAP1	9
DDX47	9
THOP1	9
AIM1	9
RARB	9
FAM129A	9
EEF1D	9
PLD1	9
PROS1	9
RLF	9
ZNF442	9
CAMK1D	9
USP26	9
DDX18	9
IPO7	9
GMEB2	9
BRF1	9
ZNF454	9
GPC5	9
PAM	9
TYK2	9
MGRN1	9
EEF2K	9
FAM160A1	9
SLC4A2	9
CNR1	9
STX11	9
COMP	9
KCNJ12	9
ARHGAP39	9
TRAP1	9
SLCO6A1	9
EPHB3	9
MAGED2	9
C17orf74	9
NPFFR2	9
TMC2	9
ABCF3	9
PIK3R5	9
ARMC3	9
C8B	9
CENPJ	9
PRX	9
KCNN3	9
PRPF6	9
KIAA0355	9
DIAPH2	9
C2orf81	9
SLC45A1	9
PLEKHG3	9
ZBTB41	9
LMTK2	9
ST8SIA6	9
TRAK1	9
PTCHD1	9
WDR11	9
RHBDF2	9
MIB1	9
POLM	9
SULF2	9
MICAL2	9
ANGPTL2	9
RNF216	9
FOXO4	9
ZNF335	9
ATP8B4	9
ALDH1A2	9
KIF15	9
FASTKD3	9
IGDCC4	9
YTHDC1	9
TNRC6C	9
RPA1	9
CFB	9
ELFN2	9
CNGB3	9
MTDH	9
ZSCAN1	9
ZFP64	9
OR2T12	9
UNC5D	9
PIGG	9
ZFP42	9
GLRB	9
AIM1L	9
ZFAT	9
HDGFRP2	9
RING1	9
PPP2R3B	9
IMPG2	9
ZNF578	9
VPS41	9
LARS	9
RPL22	9
CCDC116	9
TRDN	9
RGS3	9
PRRT3	9
ERICH1	9
FER	9
DDI1	9
LSR	9
SLC26A9	9
LYN	9
FAF1	9
GLTSCR1	9
GPR155	9
DAO	9
EIF4G3	9
SLC25A23	9
SLCO4A1	9
CYP4A22	9
WNT1	9
SLC14A1	9
KIAA0586	9
MDM1	9
GAD1	9
PDPR	9
PRF1	9
RFC1	9
OR8H2	9
TGM7	9
GRK6	9
RANBP6	9
NRIP1	9
CAMKK2	9
ZNF385D	9
SIRPA	9
