TCGA-3L-AA1B-01	TCGA-4N-A93T-01	TCGA-4T-AA8H-01	TCGA-5M-AAT4-01	TCGA-5M-AAT5-01	TCGA-5M-AAT6-01	TCGA-5M-AATA-01	TCGA-5M-AATE-01	TCGA-A6-2675-01	TCGA-A6-2684-01	TCGA-A6-2685-01	TCGA-A6-2686-01	TCGA-A6-4105-01	TCGA-A6-5656-01	TCGA-A6-5657-01	TCGA-A6-5659-01	TCGA-A6-5660-01	TCGA-A6-5661-01	TCGA-A6-5662-01	TCGA-A6-5664-01	TCGA-A6-5665-01	TCGA-A6-5666-01	TCGA-A6-5667-01	TCGA-A6-6137-01	TCGA-A6-6138-01	TCGA-A6-6142-01	TCGA-A6-6648-01	TCGA-A6-6649-01	TCGA-A6-6651-01	TCGA-A6-6652-01	TCGA-A6-6653-01	TCGA-A6-6654-01	TCGA-A6-6780-01	TCGA-A6-6781-01	TCGA-A6-6782-01	TCGA-A6-A565-01	TCGA-A6-A566-01	TCGA-A6-A567-01	TCGA-A6-A56B-01	TCGA-AA-3489-01	TCGA-AA-3492-01	TCGA-AA-3496-01	TCGA-AA-3502-01	TCGA-AA-3506-01	TCGA-AA-3511-01	TCGA-AA-3655-01	TCGA-AA-3660-01	TCGA-AA-3662-01	TCGA-AA-3663-01	TCGA-AA-3697-01	TCGA-AA-3712-01	TCGA-AA-3713-01	TCGA-AA-A01P-01	TCGA-AD-5900-01	TCGA-AD-6548-01	TCGA-AD-6888-01	TCGA-AD-6889-01	TCGA-AD-6890-01	TCGA-AD-6895-01	TCGA-AD-6899-01	TCGA-AD-6901-01	TCGA-AD-6963-01	TCGA-AD-6964-01	TCGA-AD-6965-01	TCGA-AD-A5EJ-01	TCGA-AD-A5EK-01	TCGA-AM-5820-01	TCGA-AM-5821-01	TCGA-AU-3779-01	TCGA-AU-6004-01	TCGA-AY-5543-01	TCGA-AY-6196-01	TCGA-AY-6197-01	TCGA-AY-6386-01	TCGA-AY-A54L-01	TCGA-AY-A69D-01	TCGA-AY-A71X-01	TCGA-AY-A8YK-01	TCGA-AZ-4315-01	TCGA-AZ-4323-01	TCGA-AZ-4614-01	TCGA-AZ-4615-01	TCGA-AZ-4616-01	TCGA-AZ-4682-01	TCGA-AZ-5403-01	TCGA-AZ-5407-01	TCGA-AZ-6598-01	TCGA-AZ-6599-01	TCGA-AZ-6600-01	TCGA-AZ-6601-01	TCGA-AZ-6603-01	TCGA-AZ-6605-01	TCGA-AZ-6606-01	TCGA-AZ-6607-01	TCGA-AZ-6608-01	TCGA-CA-5254-01	TCGA-CA-5255-01	TCGA-CA-5256-01	TCGA-CA-5796-01	TCGA-CA-5797-01	TCGA-CA-6715-01	TCGA-CA-6716-01	TCGA-CA-6717-01	TCGA-CA-6718-01	TCGA-CA-6719-01	TCGA-CK-4947-01	TCGA-CK-4948-01	TCGA-CK-4950-01	TCGA-CK-4951-01	TCGA-CK-4952-01	TCGA-CK-5912-01	TCGA-CK-5913-01	TCGA-CK-5914-01	TCGA-CK-5915-01	TCGA-CK-5916-01	TCGA-CK-6746-01	TCGA-CK-6747-01	TCGA-CK-6748-01	TCGA-CK-6751-01	TCGA-CM-4743-01	TCGA-CM-4744-01	TCGA-CM-4747-01	TCGA-CM-4751-01	TCGA-CM-5344-01	TCGA-CM-5348-01	TCGA-CM-5349-01	TCGA-CM-5860-01	TCGA-CM-5861-01	TCGA-CM-5862-01	TCGA-CM-5863-01	TCGA-CM-5864-01	TCGA-CM-5868-01	TCGA-CM-6161-01	TCGA-CM-6163-01	TCGA-CM-6164-01	TCGA-CM-6165-01	TCGA-CM-6166-01	TCGA-CM-6167-01	TCGA-CM-6168-01	TCGA-CM-6169-01	TCGA-CM-6170-01	TCGA-CM-6171-01	TCGA-CM-6172-01	TCGA-CM-6674-01	TCGA-CM-6675-01	TCGA-CM-6676-01	TCGA-CM-6677-01	TCGA-CM-6678-01	TCGA-CM-6679-01	TCGA-CM-6680-01	TCGA-D5-5537-01	TCGA-D5-5538-01	TCGA-D5-5539-01	TCGA-D5-5540-01	TCGA-D5-5541-01	TCGA-D5-6529-01	TCGA-D5-6530-01	TCGA-D5-6531-01	TCGA-D5-6532-01	TCGA-D5-6533-01	TCGA-D5-6534-01	TCGA-D5-6535-01	TCGA-D5-6536-01	TCGA-D5-6537-01	TCGA-D5-6538-01	TCGA-D5-6539-01	TCGA-D5-6540-01	TCGA-D5-6541-01	TCGA-D5-6898-01	TCGA-D5-6920-01	TCGA-D5-6922-01	TCGA-D5-6924-01	TCGA-D5-6926-01	TCGA-D5-6927-01	TCGA-D5-6928-01	TCGA-D5-6929-01	TCGA-D5-6930-01	TCGA-D5-6931-01	TCGA-D5-6932-01	TCGA-D5-7000-01	TCGA-DM-A0X9-01	TCGA-DM-A0XD-01	TCGA-DM-A0XF-01	TCGA-DM-A1D0-01	TCGA-DM-A1D4-01	TCGA-DM-A1D6-01	TCGA-DM-A1D7-01	TCGA-DM-A1D8-01	TCGA-DM-A1D9-01	TCGA-DM-A1DA-01	TCGA-DM-A1DB-01	TCGA-DM-A1HA-01	TCGA-DM-A1HB-01	TCGA-DM-A280-01	TCGA-DM-A282-01	TCGA-DM-A285-01	TCGA-DM-A288-01	TCGA-DM-A28A-01	TCGA-DM-A28C-01	TCGA-DM-A28E-01	TCGA-DM-A28F-01	TCGA-DM-A28G-01	TCGA-DM-A28H-01	TCGA-DM-A28K-01	TCGA-DM-A28M-01	TCGA-F4-6459-01	TCGA-F4-6460-01	TCGA-F4-6461-01	TCGA-F4-6463-01	TCGA-F4-6569-01	TCGA-F4-6570-01	TCGA-F4-6703-01	TCGA-F4-6704-01	TCGA-F4-6805-01	TCGA-F4-6806-01	TCGA-F4-6807-01	TCGA-F4-6808-01	TCGA-F4-6809-01	TCGA-F4-6854-01	TCGA-F4-6855-01	TCGA-F4-6856-01	TCGA-G4-6293-01	TCGA-G4-6294-01	TCGA-G4-6295-01	TCGA-G4-6297-01	TCGA-G4-6298-01	TCGA-G4-6299-01	TCGA-G4-6302-01	TCGA-G4-6303-01	TCGA-G4-6304-01	TCGA-G4-6306-01	TCGA-G4-6307-01	TCGA-G4-6309-01	TCGA-G4-6310-01	TCGA-G4-6311-01	TCGA-G4-6314-01	TCGA-G4-6315-01	TCGA-G4-6317-01	TCGA-G4-6320-01	TCGA-G4-6321-01	TCGA-G4-6322-01	TCGA-G4-6323-01	TCGA-G4-6586-01	TCGA-G4-6588-01	TCGA-G4-6625-01	TCGA-G4-6626-01	TCGA-G4-6627-01	TCGA-G4-6628-01	TCGA-NH-A50T-01	TCGA-NH-A50U-01	TCGA-NH-A50V-01	TCGA-NH-A5IV-01	TCGA-NH-A6GA-01	TCGA-NH-A6GB-01	TCGA-NH-A6GC-01	TCGA-NH-A8F7-01	TCGA-NH-A8F8-01	TCGA-QG-A5YV-01	TCGA-QG-A5YW-01	TCGA-QG-A5YX-01	TCGA-QG-A5Z1-01	TCGA-QG-A5Z2-01	TCGA-QL-A97D-01	TCGA-RU-A8FL-01	TCGA-SS-A7HO-01	TCGA-T9-A92H-01	TCGA-WS-AB45-01
APC	TP53	APC	APC	APC	APC	APC	APC	APC	APC	PCLO	FAT4	APC	APC	APC	FAT4	APC	FAT4	APC	APC	FAT4	APC	APC	FAT4	APC	FAT4	APC	TTN	TP53	APC	FAT4	APC	TTN	APC	APC	TTN	APC	APC	APC	APC	TTN	APC	TTN	APC	APC	APC	FAT4	APC	FAT4	FAT4	APC	FAT4	TTN	FAT4	FAT4	APC	FAT4	FAT4	FAT4	APC	APC	APC	FAT4	APC	TTN	APC	TTN	FAT4	APC	FAT4	APC	TP53	FAT4	FAT4	APC	APC	TTN	APC	FAT4	MUC16	FAT4	TTN	APC	APC	TCF7L2	APC	FAT4	APC	APC	FAT4	APC	FAT4	APC	TP53	APC	TTN	KRAS	APC	FAT4	APC	APC	APC	FAT4	FAT4	TP53	APC	APC	APC	FAT4	APC	APC	FAT4	APC	APC	FAT4	TTN	APC	TTN	APC	TTN	APC	TRPS1	TTN	APC	TTN	KRAS	APC	APC	TTN	APC	FAT4	APC	TTN	APC	APC	APC	APC	APC	APC	APC	APC	FAT4	APC	FAT4	TP53	FAT4	APC	APC	APC	FAT4	APC	SMAD4	APC	APC	APC	KRAS	FAT4	TP53	APC	FAT4	SYNE1	APC	APC	APC	APC	FAT4	APC	FAT4	APC	APC	TTN	APC	APC	TTN	FAT4	APC	FAT4	FAT4	APC	APC	FAT4	FAT4	APC	APC	FAT4	APC	TTN	FAT4	APC	TTN	APC	APC	TTN	FAT4	APC	APC	APC	APC	FAT4	APC	FAT4	FAT4	APC	SMAD4	APC	TTN	APC	APC	APC	APC	FAT4	TTN	TTN	SMAD4	FAT4	TTN	FAT4	APC	TTN	APC	APC	APC	FAT4	APC	APC	APC	TTN	FAT4	APC	FAT4	APC	APC	FAT4	APC	APC	APC	APC	APC	FAT4	FAT4	FAT4	APC	FAT4	FAT4	APC	APC	APC	FAT4	APC	APC	APC	FAT4	APC	APC	FAT4	APC	APC	APC	TTN	TTN	FAT4	APC	APC	APC	APC	FAT4	FAT4
OBSCN	COL5A1	OBSCN	KRAS	KRAS	TTN	TCF7L2	TTN	TP53	TTN	TP53	APC	TTN	TTN	TTN	APC	TP53	TTN	TP53	SMAD4	TTN	KRAS	TP53	APC	TTN	APC	SYNE1	SYNE1	NEU4	TTN	TTN	KRAS	PTEN	TCF7L2	MUC16	SMAD4	TTN	TTN	MUC16	MUC16	TP53	OBSCN	APC	SYNE1	TCF7L2	KRAS	APC	TP53	TCF7L2	APC	MUC16	TTN	OBSCN	APC	APC	TTN	TTN	APC	TTN	SMAD4	TTN	ATM	TTN	OBSCN	SYNE1	TP53	KRAS	APC	TP53	TCF7L2	TP53	TTN	APC	SMAD4	SYNE1	OBSCN	KRAS	MUC16	APC	TP53	SMAD4	RNF43	SMAD4	MYO18B	TP53	TP53	SMAD4	TTN	KRAS	APC	TTN	APC	TP53	MUC16	TTN	ARID1A	AXIN2	TCF7L2	SMAD4	TP53	TP53	SYNE1	APC	APC	MUC16	TCF7L2	KRAS	TTN	TTN	TTN	CHD4	OBSCN	NRXN1	ARID1A	SMAD4	APC	TP53	APC	SOX9	OBSCN	KRAS	KRAS	KRAS	TTN	TP53	APC	TP53	TCF7L2	TP53	TTN	APC	TTN	BCL9L	TP53	ASXL1	TCF7L2	TP53	TP53	KRAS	TTN	SMAD4	TCF7L2	MUC16	APC	NRXN1	APC	GDF5	TCF7L2	TTN	APC	KRAS	APC	OBSCN	TTN	TTN	PCBP1	TTN	TTN	PCLO	APC	TP53	TTN	TTN	KRAS	KRAS	TP53	TTN	TP53	ATM	SMAD4	APC	TP53	TTN	KRAS	TTN	TP53	TTN	APC	TTN	SMAD4	APC	APC	TTN	KRAS	APC	TTN	APC	APC	SMAD4	APC	TTN	TP53	MUC16	APC	TCF7L2	SMAD4	KRAS	OBSCN	APC	KRAS	APC	KRAS	SMAD4	APC	SMAD2	APC	SYNE1	MUC16	TTN	SMAD4	TTN	ASXL1	PTEN	KRAS	APC	KRAS	TTN	TTN	ARID1A	TCF7L2	TTN	TCF7L2	APC	IL7R	TTN	TCF7L2	MUC16	TTN	TP53	APC	TP53	TTN	APC	TP53	TTN	OBSCN	OBSCN	TTN	APC	MUC16	APC	PTEN	TTN	TTN	KRAS	TTN	TTN	SMAD4	SYNE1	TP53	PCLO	APC	OBSCN	KRAS	KRAS	TTN	TTN	TCF7L2	TP53	SMAD4	APC	TTN	TTN	SOX9	MUC16	OBSCN	APC
PIK3CA	KRAS	KRAS	TP53	COL5A1	PCLO	TP53	PCLO	BCL9L	TP53	KRAS	TTN	KRAS	TP53	OBSCN	KRAS	NRXN1	MUC16	KRAS	KRAS	OBSCN	COL5A1	RFX8	TCF7L2	TP53	TCF7L2	MUC16	TP53	TCF20	TP53	ATM	PCLO	OBSCN	TTN	OBSCN	CTNNB1	KRAS	TP53	TP53	PIK3CA	PCLO	SMAD4	ATM	RYR2	TP53	COL5A1	TTN	OCRL	TTN	SYNE1	TP53	MUC16	PCLO	TTN	KRAS	TP53	GDF5	TTN	ARID1A	ATM	KRAS	TP53	TCF7L2	TP53	MUC16	NRXN1	RANBP9	TTN	TTN	TTN	KRAS	BRAF	TCF7L2	APC	TP53	KRAS	ZNF615	TP53	TTN	SYNE1	NRXN1	SYNE1	ARID1A	RYR2	RYR2	KRAS	TTN	PCLO	TP53	TTN	TP53	TP53	COL5A1	KRAS	TP53	OCRL	PIK3CA	MUC16	TTN	ARID1A	ATM	MUC16	SMAD4	TTN	TRPS1	TTN	PCLO	SMAD4	TCF7L2	COL5A1	C9orf64	RNF43	TTN	MUC4	TTN	BRAF	SOX9	OBSCN	KRAS	MUC16	NRXN1	PIK3CA	RNF43	SYNE1	KCNB2	TCF7L2	SYNE1	TTN	SET	KRAS	TP53	SMAD4	KLF5	COL5A1	TP53	TTN	KRAS	RYR2	TTN	OBSCN	DMD	SMAD4	TP53	TTN	CTNNB1	TP53	TP53	SYNE1	SYNE1	SMAD4	SOX9	TTN	KRAS	TP53	ARID1A	PIK3CA	OBSCN	SYNE1	KRAS	TTN	PCLO	TP53	KRAS	PIK3CA	TP53	KRAS	RNF43	CTNNB1	TP53	SOX9	TCF7L2	SYNE1	TP53	OBSCN	ATM	SYNE1	PCLO	TTN	MUC16	ATM	KRAS	TTN	TP53	TP53	MUC16	KRAS	OBSCN	SMAD4	KRAS	MUC16	TP53	TTN	ARID1A	TTN	KRAS	TTN	TP53	MUC16	OBSCN	TP53	TCF7L2	OBSCN	TP53	ATM	MUC16	TP53	TP53	KRAS	KRAS	ARID1A	PCLO	PTEN	ANPEP	MUC16	TTN	SYNE1	OBSCN	TP53	OBSCN	TTN	OBSCN	TTN	TTN	TP53	TP53	MUC16	RNF43	SYNE1	THBS2	TTN	SOX9	MUC16	SMAD4	SYNE1	SYNE1	KRAS	PCLO	TCF7L2	TTN	TRPS1	SMAD4	KRAS	RNF43	MUC16	MUC16	OBSCN	MUC16	OBSCN	TRPS1	KRAS	RBM10	TCF7L2	TP53	TP53	TP53	TP53	TP53	KRAS	PTEN	OBSCN	TP53	MUC16	TP53	TP53	TP53	TP53	TTN
BRAF	CTNNB1	NLRP2	PIK3CA	TP53	KRAS	PIK3CA	KRAS	TGFBR2	KRAS	MAP2K7	TCF7L2	IL7R	NSD1	KRAS	TP53	PIK3CA	SYNE1	RB1	SULT1E1	ARID1A	PIK3CA	SLC35E2	TTN	KRAS	TP53	MUC4	RNF43	PUS1	SOX9	BRAF	TP53	SYNE1	ATM	TP53	DMD	PIK3CA	KRAS	THBS2	BCL9L	OBSCN	TTN	KRAS	KRAS	KRAS	TP53	KRAS	MAGEB4	PCLO	MYO18B	RUFY1	ARID1A	MUC16	OBSCN	TTN	SYNE1	PCLO	SYNE1	PCLO	TP53	TP53	CEP170	OBSCN	RBM10	RNF43	KRAS	CHEK2	MUC16	MBD3L1	OBSCN	PIK3CA	MUC16	OBSCN	TTN	SOX9	PCLO	CR1	SYNE1	TCF7L2	ASXL1	TP53	PCLO	TP53	DNAH12	ZNF154	THBS2	ATM	SYNE1	SYNE1	TCF7L2	ITGAX	GPC6	KRAS	C1D	KRAS	OBSCN	SALL1	SALL1	RNF43	AXIN2	ACVR1B	OBSCN	TTN	SMAD4	SRRT	MUC16	OBSCN	KRAS	MUC16	BRAF	DUSP22	PTEN	CNTNAP2	TGIF1	OBSCN	PCLO	PIK3CA	ATM	PCBP1	MYO18B	FBXW7	KDM6A	SOX9	PRKCQ	EDNRB	TTN	ASXL1	OBSCN	ZNF7	SYNE1	DMD	MUC16	ZNF480	DMD	KRAS	MUC16	CECR6	MARK2	MUC16	TP53	SMYD4	TTN	RYR2	KRAS	DMD	DMD	FBXW7	KRAS	TP53	PIK3CA	OR2W3	TP53	PCLO	KRAS	TP53	WIZ	ATM	KRAS	SMAD4	TP53	BRAF	KRAS	BCL9L	OBSCN	MYO18B	MYO18B	OBSCN	KRAS	MUC16	PIK3CA	ARID1A	RYR2	COL5A1	PIK3CA	RNF43	SOX9	OBSCN	MUC16	KRAS	TTN	PCLO	TP53	ARID1A	FAT1	CTNNB1	TP53	PCLO	TP53	TP53	PTEN	SYNE1	KRAS	OBSCN	PCLO	RYR2	MUC16	PIK3CA	SYNE1	PTEN	KIF2B	TTN	TTN	MUC4	KRAS	PIK3CA	RRP15	ZNF480	PIK3CA	KDM6A	PIK3CA	PTEN	KRAS	CNTN2	SOX9	KRAS	TP53	APC	MGAT3	TP53	SMAD4	KRAS	ARID1A	TP53	PIK3CA	PIK3CA	TP53	OBSCN	ATM	GRB10	TCF7L2	ELF3	TP53	TTN	RNF43	TP53	TP53	TP53	TP53	TCF7L2	BRAF	NSD1	PCDHAC2	MUC16	ARID1A	OBSCN	TP53	KRAS	RNF43	PIK3CA	SMAD2	KRAS	OBSCN	SOX9	OBSCN	SYNE1	RYR2	KRAS	OBSCN	CTNNB1	TP53	KCNB2	PCLO	SYNE1	GTF2H5	KRAS	MGAT3	PCLO
NRAS	ELF3	PCID2	FBXW7	RYR2	MUC16	RBM10	TP53	MSH5	PCBP1	TADA3	PCLO	ATM	CNTROB	PIK3CA	DMD	ING1	RNF43	CCR7	ZNFX1	MUC16	ZFP36L2	DCPS	TP53	FAT1	FBXW7	GRB10	BRAF	MTMR6	TRPS1	RNF43	NRXN1	ATM	GDF5	SYNE1	FAT1	SOX9	ATAD3B	PLD2	CASP8	ATM	PCLO	MGAT3	SOX9	MYO18B	PLEKHH3	TP53	MASTL	PTEN	CHD7	PIK3CA	PCLO	ARID1A	MUC16	TP53	GRN	ATM	MUC16	SYNE1	PIK3CA	RYR2	CR1	KRAS	KRAS	GDF5	EVC2	TFPI2	ATM	YTHDC2	MUC16	KRTAP6-3	CEP170	SYNE1	MUC16	KRAS	PIK3CA	PLD2	GPC6	OBSCN	KIF2B	TRPS1	FAT1	KRAS	POU3F3	ZNF417	AXIN2	PCLO	KRAS	RYR2	MUC16	FAM9A	KCNB2	NLRP2	DOK1	OBSCN	ERBB3	TNNT1	PAXIP1	KRAS	ZFP36L2	HS3ST3B1	KRAS	OBSCN	ATM	SOAT1	NRXN1	TP53	PCLO	ASXL1	SYNE1	NXF3	DMD	TP53	TMEM205	MUC16	FBXW7	RNF43	KRAS	ACVR2A	CNTNAP2	SOX9	SOCS6	FAT1	PTPN21	DRD3	KCNB2	PIK3CA	ATM	NXF3	EFEMP1	CTCF	TP53	PLB1	KLF5	C11orf42	SMAD4	CYP2A6	YTHDC2	SMAD2	BRAF	KLHL36	ARID1A	GATM	PCLO	GNAS	DHX9	EDNRB	PIK3CA	CHD7	PCBP1	ZFP36L1	SYNE1	TTN	PIK3CA	OBSCN	CHSY3	CTNNB1	TRPS1	TP53	ATM	RYR2	TRPS1	ZFP36L2	AXIN2	DAO	SYNE1	ARID1A	PCBP1	FBXW7	TGIF1	TP53	SALL1	EDNRB	MUC16	OBSCN	S100A9	RNF43	KRAS	TP53	PCLO	PIK3CA	ARID1A	ATM	ZNF208	PCLO	AXIN2	TP53	KRAS	OCRL	TP53	RYR2	PCLO	PCLO	SYNE1	LRRC16B	KRAS	MYO18B	TP53	SYNE1	PSAPL1	TP53	MUC16	MYO18B	ING1	KRAS	EHMT2	TTC14	TRPS1	MAP2K7	KLF5	ATM	MGAT3	MED26	TP53	ACVR1B	PTEN	TP53	PIK3CA	KRAS	MUC16	PTEN	ATM	KRAS	TRPS1	KRAS	NRAS	TP53	TP53	OR9A4	SMAD4	KIFC1	DMD	MUC16	GH1	SOX9	SOX9	NRAS	RYR2	OBSCN	TMPRSS11A	ANXA10	RAB36	BRAF	ATM	TP53	KIF1A	SOX9	TTN	FBXW7	KIF2B	SYNE1	TTN	KRAS	SYNE1	FBXW7	OCRL	ZFP36L2	TP53	SMAD2	AXIN2	PACSIN1	SYNE1	SALL1	NEIL3	ACVR2A	CNTNAP2	ASXL1
PRKCQ	PROK2	GLCE	MGAT3	FBXW7	SYNE1	OR9A4	SOX9	NPFFR1	PIK3CA	TMEM55A	MUC16	SYNE1	ZNF227	FBXW7	NRXN1	POU2F2	RYR2	IGSF11	SHPK	ASXL1	KLF5	KIAA1377	PIK3CA	TTC14	CHD4	LRRC66	CACNB4	ADAMTS20	GPC6	NRXN1	MYO18B	MUC16	SYNE1	EDNRB	SMAD2	ZNF208	NXF3	ZMIZ1	FCRL4	SOX9	MUC16	EVC2	CNTNAP2	TCERG1	NOVA1	DMD	ALDH7A1	ATM	SIN3A	SALL1	SOX9	RNF43	PCLO	FBXW7	GPR155	RNF43	PIK3CA	OBSCN	GPC6	ASXL1	OR6B3	ASXL1	NCAPD3	PCLO	ANXA11	ERLIN2	RBM10	NPAS3	PCLO	TOPORS	NPHP1	ARID1A	KRAS	SALL1	DMD	ANXA1	CLIP4	MUC16	SLCO6A1	BRAF	RBM10	PIK3CA	CAMK2G	TRAF3	ACVR2A	GDF5	RBM10	SMAD2	KRAS	TSSK3	TARBP2	ITGAX	ZBTB46	RYR2	TRPS1	RHBDF2	SACS	PALMD	ABCG5	ACTR3B	TGIF1	PCLO	KRAS	EPHA4	SOX9	MUC16	COL5A1	SYNE1	GNAS	LAMC3	ARID1A	TEX14	SGCZ	TP53	COL5A1	ARID1A	NCF1	ACVR1B	MAP2K7	TRPS1	SNPH	SALL1	CCDC37	CEND1	TRAK1	TRPS1	GDF5	FAM114A1	CNN2	NRAS	PLB1	DYNC1I1	G6PD	ABCA13	TP53	EPN2	TEX13A	PIK3CA	DMD	LRRC37A2	PCLO	KIF1A	OBSCN	GORASP1	SPATC1	SOX9	HSPA1L	NECAB1	NRAS	XRCC1	KRAS	MYO18B	KCNB2	SYNE1	LRRTM2	EVC2	EVC2	PIK3CA	OBSCN	ERBB3	SLC39A8	EEF1A1	MUC16	SRRT	MUC16	BRAF	RYR2	EPM2AIP1	TXLNG	CNTNAP2	SIN3A	SOX7	DMD	SYNE1	DIS3L2	BCL9L	SOX9	GDF5	KRAS	CTCF	KRAS	SYNE1	YTHDC2	TP53	NTSR2	RYR2	TTN	NCAPD3	BRAF	RUFY1	ZFP36L2	GDF5	KRAS	ZNF687	OBSCN	TUBA4A	KRAS	PIK3CA	SPOPL	SYNE1	FBXW7	ZDHHC15	MAS1L	JPH4	NR5A1	SCG2	ELF3	MSH3	ZNF7	OBSCN	CTNNB1	CHRNG	PIK3CA	PRKCQ	DMD	ATM	NRAS	PCLO	KRAS	COL5A1	SOX9	MUC4	DAO	NLRP10	TGIF1	BRAF	PCLO	ARAP1	PCLO	FAM114A1	TADA3	PTEN	ABCA13	PIK3CA	DAO	DNAH12	IL7R	KRAS	MBTPS2	TFAP2E	GMEB2	SYNE1	RNF43	MGAT3	CENPE	PCBP1	MUC16	ZBTB46	DPY19L2P2	TP53	MUC16	KIF2B	RYR2	FAM19A1	LRRC37A2	MUC4	SOX9	PIK3CA	PIK3CA	DHX9	MYO18B	MUC16	FAM19A1	SPINK2	CTNNB1	RNF43
ZDHHC15	CLEC4C	TUBGCP5	PCBP1	ZFP36L2	AXIN2	GLRA3	PIK3CA	NPSR1	TGIF1	EIF5B	ARID1A	PIK3CA	GUCY2C	ADD2	PIK3CA	CYP4F12	FAT1	CCBE1	CCNT1	GDF5	POU3F3	MED1	FBXW7	METTL14	CKMT1B	AGBL5	PTGFR	EPHA6	OR2W3	OBSCN	MARK2	ARID1A	OBSCN	FGFR2	MANSC1	ACVR2A	PRPF40A	ACER1	TCP11L1	ARID1A	ASXL1	GNAS	ACVR2A	PDE4B	OR10H2	PIK3CA	SLTM	ARID1A	SOAT1	CNTNAP2	TCERG1	COL5A1	PIK3CA	NRXN1	SDC3	SYNE1	BCL9L	MUC16	USP5	NRXN1	POLB	PCLO	PIK3CA	PTEN	BMPER	ZBTB20	ARID1A	FOXF1	ASXL1	BMPER	PALMD	TP53	SOX9	PCBP1	DAO	PCDHA13	ATRN	ATM	SEC16A	DMD	BRAF	MFSD6	POLM	DBNL	ROPN1L	ARID1A	GNAS	PRKCQ	SYNE1	DLGAP5	UXS1	CD34	CDH23	MARK2	CTCF	ETV6	CXorf40A	KIAA0020	TCP11L1	ATP5L	NLRP2	ARID1A	OBSCN	NT5C2	ATM	FBXW7	SOX9	COL5A1	SLC6A15	KIAA1109	PCLO	ITGAX	LPAR6	SYNE1	MUC16	BRAF	KIAA1586	NLRP2	MOV10	KCNB2	FRY	TP53	LRP6	PSMB2	CEP170	USP5	NRXN1	ACER1	KCNJ6	ABCA1	ZNF414	ZNF235	MLYCD	FAM168B	THBS2	TROAP	PRKCH	APOL3	DIS3L2	PADI1	OBSCN	CHD2	AXIN2	LPO	TATDN2	ACVR2A	ZNF208	MAL	RPN1	C7orf69	PCLO	PTEN	KIF2B	CDC42EP3	MYBPC2	MYO18B	FBXW7	MUC16	RB1	GPC6	RELA	RHOT1	GRHPR	HSPA1L	PTEN	TP53	PIK3CA	OR10K1	ZNF417	FSIP1	MAL	TFPI2	PTEN	MUC16	MAP3K3	SYNE1	RUFY1	RYR2	FAT1	PKNOX2	PCLO	CHD7	C1S	KRAS	PCDHAC2	KRAS	RYR2	ZFP36L2	NRAS	AXIN2	MOV10	ATM	TRPS1	GPCPD1	TP53	C9orf84	PIK3CA	ZNF208	SDK1	MUC16	KIF3C	TMPRSS11A	FAIM	GMEB2	KIAA1432	GAS7	ZYX	SS18L1	TUBGCP5	NRXN1	SOX9	DCBLD1	ZNF750	SLC44A4	PIK3CA	COL5A1	C9orf84	DUSP16	COL5A1	PCLO	TRPS1	FAM9A	SSH1	CUTC	TXNRD1	RYR2	MUC16	OR8H1	MUC16	NIN	CCNT1	DMD	MFHAS1	CTNNB1	RYR2	GNPAT	COL7A1	MUC16	GK	MYH6	FUCA1	CTNNB1	PTEN	RHOT1	ABCA2	EVC2	ASXL1	MYH6	KIF1A	MYO18B	KRAS	KRT71	FBXW7	OR8K5	THAP9	CHD4	MGAT3	FBXW7	FBXW7	GIMAP4	FAT1	KRAS	EFCAB7	LIM2	DMD	NRXN1
