TCGA-4P-AA8J-01	TCGA-BA-4074-01	TCGA-BA-4075-01	TCGA-BA-4076-01	TCGA-BA-4077-01	TCGA-BA-4078-01	TCGA-BA-5149-01	TCGA-BA-5151-01	TCGA-BA-5152-01	TCGA-BA-5153-01	TCGA-BA-5555-01	TCGA-BA-5556-01	TCGA-BA-5557-01	TCGA-BA-5558-01	TCGA-BA-5559-01	TCGA-BA-6868-01	TCGA-BA-6869-01	TCGA-BA-6870-01	TCGA-BA-6871-01	TCGA-BA-6872-01	TCGA-BA-6873-01	TCGA-BA-7269-01	TCGA-BA-A4IF-01	TCGA-BA-A4IG-01	TCGA-BA-A4IH-01	TCGA-BA-A4II-01	TCGA-BA-A6D8-01	TCGA-BA-A6DA-01	TCGA-BA-A6DB-01	TCGA-BA-A6DD-01	TCGA-BA-A6DE-01	TCGA-BA-A6DG-01	TCGA-BA-A6DI-01	TCGA-BA-A6DJ-01	TCGA-BA-A6DL-01	TCGA-BA-A8YP-01	TCGA-BB-4217-01	TCGA-BB-4223-01	TCGA-BB-4224-01	TCGA-BB-4225-01	TCGA-BB-4227-01	TCGA-BB-4228-01	TCGA-BB-7870-01	TCGA-BB-8596-01	TCGA-BB-8601-01	TCGA-BB-A5HU-01	TCGA-BB-A5HY-01	TCGA-BB-A5HZ-01	TCGA-BB-A6UM-01	TCGA-BB-A6UO-01	TCGA-C9-A47Z-01	TCGA-C9-A480-01	TCGA-CN-4723-01	TCGA-CN-4725-01	TCGA-CN-4726-01	TCGA-CN-4727-01	TCGA-CN-4728-01	TCGA-CN-4729-01	TCGA-CN-4730-01	TCGA-CN-4731-01	TCGA-CN-4733-01	TCGA-CN-4734-01	TCGA-CN-4735-01	TCGA-CN-4736-01	TCGA-CN-4737-01	TCGA-CN-4738-01	TCGA-CN-4739-01	TCGA-CN-4740-01	TCGA-CN-4741-01	TCGA-CN-4742-01	TCGA-CN-5355-01	TCGA-CN-5356-01	TCGA-CN-5358-01	TCGA-CN-5359-01	TCGA-CN-5360-01	TCGA-CN-5361-01	TCGA-CN-5363-01	TCGA-CN-5364-01	TCGA-CN-5365-01	TCGA-CN-5366-01	TCGA-CN-5367-01	TCGA-CN-5369-01	TCGA-CN-5370-01	TCGA-CN-5373-01	TCGA-CN-5374-01	TCGA-CN-6010-01	TCGA-CN-6011-01	TCGA-CN-6012-01	TCGA-CN-6013-01	TCGA-CN-6016-01	TCGA-CN-6017-01	TCGA-CN-6018-01	TCGA-CN-6019-01	TCGA-CN-6020-01	TCGA-CN-6021-01	TCGA-CN-6022-01	TCGA-CN-6023-01	TCGA-CN-6024-01	TCGA-CN-6988-01	TCGA-CN-6989-01	TCGA-CN-6992-01	TCGA-CN-6994-01	TCGA-CN-6995-01	TCGA-CN-6996-01	TCGA-CN-6997-01	TCGA-CN-6998-01	TCGA-CN-A497-01	TCGA-CN-A498-01	TCGA-CN-A499-01	TCGA-CN-A49A-01	TCGA-CN-A49B-01	TCGA-CN-A49C-01	TCGA-CN-A63T-01	TCGA-CN-A63U-01	TCGA-CN-A63V-01	TCGA-CN-A63W-01	TCGA-CN-A641-01	TCGA-CN-A642-01	TCGA-CN-A6UY-01	TCGA-CN-A6V1-01	TCGA-CN-A6V3-01	TCGA-CN-A6V6-01	TCGA-CN-A6V7-01	TCGA-CQ-5323-01	TCGA-CQ-5324-01	TCGA-CQ-5325-01	TCGA-CQ-5326-01	TCGA-CQ-5327-01	TCGA-CQ-5329-01	TCGA-CQ-5330-01	TCGA-CQ-5331-01	TCGA-CQ-5332-01	TCGA-CQ-5333-01	TCGA-CQ-5334-01	TCGA-CQ-6218-01	TCGA-CQ-6219-01	TCGA-CQ-6220-01	TCGA-CQ-6221-01	TCGA-CQ-6222-01	TCGA-CQ-6223-01	TCGA-CQ-6224-01	TCGA-CQ-6225-01	TCGA-CQ-6227-01	TCGA-CQ-6228-01	TCGA-CQ-6229-01	TCGA-CQ-7063-01	TCGA-CQ-7065-01	TCGA-CQ-7068-01	TCGA-CQ-7069-01	TCGA-CQ-7071-01	TCGA-CQ-7072-01	TCGA-CQ-A4C6-01	TCGA-CQ-A4C7-01	TCGA-CQ-A4C9-01	TCGA-CQ-A4CB-01	TCGA-CQ-A4CD-01	TCGA-CQ-A4CE-01	TCGA-CQ-A4CG-01	TCGA-CQ-A4CH-01	TCGA-CQ-A4CI-01	TCGA-CR-5243-01	TCGA-CR-5247-01	TCGA-CR-5248-01	TCGA-CR-5249-01	TCGA-CR-5250-01	TCGA-CR-6467-01	TCGA-CR-6470-01	TCGA-CR-6471-01	TCGA-CR-6472-01	TCGA-CR-6473-01	TCGA-CR-6474-01	TCGA-CR-6477-01	TCGA-CR-6478-01	TCGA-CR-6480-01	TCGA-CR-6481-01	TCGA-CR-6482-01	TCGA-CR-6484-01	TCGA-CR-6487-01	TCGA-CR-6488-01	TCGA-CR-6491-01	TCGA-CR-6492-01	TCGA-CR-6493-01	TCGA-CR-7364-01	TCGA-CR-7365-01	TCGA-CR-7367-01	TCGA-CR-7368-01	TCGA-CR-7369-01	TCGA-CR-7370-01	TCGA-CR-7371-01	TCGA-CR-7372-01	TCGA-CR-7373-01	TCGA-CR-7374-01	TCGA-CR-7376-01	TCGA-CR-7377-01	TCGA-CR-7379-01	TCGA-CR-7380-01	TCGA-CR-7382-01	TCGA-CR-7383-01	TCGA-CR-7385-01	TCGA-CR-7386-01	TCGA-CR-7388-01	TCGA-CR-7389-01	TCGA-CR-7390-01	TCGA-CR-7391-01	TCGA-CR-7392-01	TCGA-CR-7394-01	TCGA-CR-7395-01	TCGA-CR-7397-01	TCGA-CR-7398-01	TCGA-CR-7399-01	TCGA-CR-7401-01	TCGA-CR-7402-01	TCGA-CR-7404-01	TCGA-CV-5430-01	TCGA-CV-5432-01	TCGA-CV-5434-01	TCGA-CV-5435-01	TCGA-CV-5436-01	TCGA-CV-5439-01	TCGA-CV-5440-01	TCGA-CV-5441-01	TCGA-CV-5442-01	TCGA-CV-5443-01	TCGA-CV-5444-01	TCGA-CV-5966-01	TCGA-CV-5970-01	TCGA-CV-5971-01	TCGA-CV-5973-01	TCGA-CV-5976-01	TCGA-CV-5977-01	TCGA-CV-5978-01	TCGA-CV-5979-01	TCGA-CV-6003-01	TCGA-CV-6433-01	TCGA-CV-6436-01	TCGA-CV-6441-01	TCGA-CV-6933-01	TCGA-CV-6934-01	TCGA-CV-6935-01	TCGA-CV-6936-01	TCGA-CV-6937-01	TCGA-CV-6938-01	TCGA-CV-6939-01	TCGA-CV-6940-01	TCGA-CV-6941-01	TCGA-CV-6942-01	TCGA-CV-6943-01	TCGA-CV-6945-01	TCGA-CV-6948-01	TCGA-CV-6950-01	TCGA-CV-6951-01	TCGA-CV-6952-01	TCGA-CV-6953-01	TCGA-CV-6954-01	TCGA-CV-6955-01	TCGA-CV-6956-01	TCGA-CV-6959-01	TCGA-CV-6960-01	TCGA-CV-6961-01	TCGA-CV-6962-01	TCGA-CV-7089-01	TCGA-CV-7090-01	TCGA-CV-7091-01	TCGA-CV-7095-01	TCGA-CV-7097-01	TCGA-CV-7099-01	TCGA-CV-7100-01	TCGA-CV-7101-01	TCGA-CV-7102-01	TCGA-CV-7103-01	TCGA-CV-7104-01	TCGA-CV-7177-01	TCGA-CV-7178-01	TCGA-CV-7180-01	TCGA-CV-7183-01	TCGA-CV-7235-01	TCGA-CV-7236-01	TCGA-CV-7238-01	TCGA-CV-7242-01	TCGA-CV-7243-01	TCGA-CV-7245-01	TCGA-CV-7247-01	TCGA-CV-7248-01	TCGA-CV-7250-01	TCGA-CV-7252-01	TCGA-CV-7253-01	TCGA-CV-7254-01	TCGA-CV-7255-01	TCGA-CV-7261-01	TCGA-CV-7263-01	TCGA-CV-7406-01	TCGA-CV-7407-01	TCGA-CV-7410-01	TCGA-CV-7411-01	TCGA-CV-7413-01	TCGA-CV-7414-01	TCGA-CV-7415-01	TCGA-CV-7416-01	TCGA-CV-7418-01	TCGA-CV-7421-01	TCGA-CV-7422-01	TCGA-CV-7423-01	TCGA-CV-7424-01	TCGA-CV-7425-01	TCGA-CV-7427-01	TCGA-CV-7429-01	TCGA-CV-7430-01	TCGA-CV-7432-01	TCGA-CV-7433-01	TCGA-CV-7434-01	TCGA-CV-7435-01	TCGA-CV-7437-01	TCGA-CV-7438-01	TCGA-CV-7440-01	TCGA-CV-7446-01	TCGA-CV-7568-01	TCGA-CV-A45O-01	TCGA-CV-A45P-01	TCGA-CV-A45Q-01	TCGA-CV-A45R-01	TCGA-CV-A45T-01	TCGA-CV-A45U-01	TCGA-CV-A45V-01	TCGA-CV-A45W-01	TCGA-CV-A45X-01	TCGA-CV-A45Y-01	TCGA-CV-A45Z-01	TCGA-CV-A460-01	TCGA-CV-A461-01	TCGA-CV-A463-01	TCGA-CV-A464-01	TCGA-CV-A465-01	TCGA-CV-A468-01	TCGA-CV-A6JD-01	TCGA-CV-A6JE-01	TCGA-CV-A6JM-01	TCGA-CV-A6JN-01	TCGA-CV-A6JO-01	TCGA-CV-A6JT-01	TCGA-CV-A6JU-01	TCGA-CV-A6JY-01	TCGA-CV-A6JZ-01	TCGA-CV-A6K0-01	TCGA-CV-A6K1-01	TCGA-CV-A6K2-01	TCGA-CX-7082-01	TCGA-CX-7085-01	TCGA-CX-7086-01	TCGA-CX-7219-01	TCGA-CX-A4AQ-01	TCGA-D6-6515-01	TCGA-D6-6516-01	TCGA-D6-6517-01	TCGA-D6-6823-01	TCGA-D6-6824-01	TCGA-D6-6825-01	TCGA-D6-6826-01	TCGA-D6-6827-01	TCGA-D6-8568-01	TCGA-D6-8569-01	TCGA-D6-A4Z9-01	TCGA-D6-A4ZB-01	TCGA-D6-A6EK-01	TCGA-D6-A6EM-01	TCGA-D6-A6EN-01	TCGA-D6-A6EO-01	TCGA-D6-A6EP-01	TCGA-D6-A6EQ-01	TCGA-D6-A6ES-01	TCGA-D6-A74Q-01	TCGA-DQ-5624-01	TCGA-DQ-5625-01	TCGA-DQ-5629-01	TCGA-DQ-5630-01	TCGA-DQ-5631-01	TCGA-DQ-7588-01	TCGA-DQ-7591-01	TCGA-DQ-7592-01	TCGA-DQ-7593-01	TCGA-DQ-7596-01	TCGA-F7-7848-01	TCGA-F7-8298-01	TCGA-F7-8489-01	TCGA-F7-A50G-01	TCGA-F7-A50I-01	TCGA-F7-A50J-01	TCGA-F7-A61S-01	TCGA-F7-A61V-01	TCGA-F7-A61W-01	TCGA-F7-A620-01	TCGA-F7-A622-01	TCGA-F7-A623-01	TCGA-F7-A624-01	TCGA-H7-7774-01	TCGA-H7-8501-01	TCGA-H7-A6C4-01	TCGA-H7-A76A-01	TCGA-HD-7229-01	TCGA-HD-7753-01	TCGA-HD-7754-01	TCGA-HD-7831-01	TCGA-HD-7832-01	TCGA-HD-8224-01	TCGA-HD-8314-01	TCGA-HD-8634-01	TCGA-HD-8635-01	TCGA-HD-A4C1-01	TCGA-HD-A633-01	TCGA-HD-A634-01	TCGA-HD-A6HZ-01	TCGA-HD-A6I0-01	TCGA-IQ-7630-01	TCGA-IQ-7631-01	TCGA-IQ-7632-01	TCGA-IQ-A61E-01	TCGA-IQ-A61G-01	TCGA-IQ-A61H-01	TCGA-IQ-A61I-01	TCGA-IQ-A61J-01	TCGA-IQ-A61O-01	TCGA-IQ-A6SG-01	TCGA-IQ-A6SH-01	TCGA-KU-A66S-01	TCGA-KU-A66T-01	TCGA-KU-A6H7-01	TCGA-KU-A6H8-01	TCGA-MT-A51W-01	TCGA-MT-A51X-01	TCGA-MT-A67A-01	TCGA-MT-A67D-01	TCGA-MT-A67F-01	TCGA-MT-A7BN-01	TCGA-MZ-A5BI-01	TCGA-MZ-A6I9-01	TCGA-MZ-A7D7-01	TCGA-P3-A5Q5-01	TCGA-P3-A5Q6-01	TCGA-P3-A5QA-01	TCGA-P3-A5QE-01	TCGA-P3-A5QF-01	TCGA-P3-A6SW-01	TCGA-P3-A6SX-01	TCGA-P3-A6T0-01	TCGA-P3-A6T2-01	TCGA-P3-A6T3-01	TCGA-P3-A6T4-01	TCGA-P3-A6T5-01	TCGA-P3-A6T6-01	TCGA-P3-A6T7-01	TCGA-P3-A6T8-01	TCGA-QK-A64Z-01	TCGA-QK-A652-01	TCGA-QK-A6IF-01	TCGA-QK-A6IG-01	TCGA-QK-A6IH-01	TCGA-QK-A6II-01	TCGA-QK-A6IJ-01	TCGA-QK-A6V9-01	TCGA-QK-A6VB-01	TCGA-QK-A6VC-01	TCGA-QK-A8Z7-01	TCGA-QK-A8Z8-01	TCGA-QK-A8Z9-01	TCGA-QK-A8ZA-01	TCGA-QK-A8ZB-01	TCGA-QK-AA3J-01	TCGA-QK-AA3K-01	TCGA-RS-A6TO-01	TCGA-RS-A6TP-01	TCGA-T2-A6WX-01	TCGA-T2-A6WZ-01	TCGA-T2-A6X0-01	TCGA-T2-A6X2-01	TCGA-T3-A92M-01	TCGA-T3-A92N-01	TCGA-TN-A7HI-01	TCGA-TN-A7HJ-01	TCGA-TN-A7HL-01	TCGA-UF-A718-01	TCGA-UF-A719-01	TCGA-UF-A71A-01	TCGA-UF-A71B-01	TCGA-UF-A71D-01	TCGA-UF-A71E-01	TCGA-UF-A7J9-01	TCGA-UF-A7JA-01	TCGA-UF-A7JC-01	TCGA-UF-A7JD-01	TCGA-UF-A7JF-01	TCGA-UF-A7JH-01	TCGA-UF-A7JJ-01	TCGA-UF-A7JK-01	TCGA-UF-A7JO-01	TCGA-UF-A7JS-01	TCGA-UF-A7JT-01	TCGA-UF-A7JV-01	TCGA-UP-A6WW-01	TCGA-WA-A7GZ-01	TCGA-WA-A7H4-01
FAT1	TP53	CDKN2A	TP53	PIK3CA	TP53	PIK3CA	TP53	CDKN2A	CYLD	PPP1R9A	USH2A	CDKN2A	CDKN2A	SYNE1	TP53	TP53	TP53	FAT1	CDKN2A	CDKN2A	FAT1	PIK3CA	TP63	BFSP1	TP53	USH2A	PIK3CG	TP53	CDKN2A	TP53	CDKN2A	FAT1	FAT1	TP53	PIK3CA	CD5L	PIK3CA	TP53	ACR	TP53	FBXW7	USH2A	GABRR1	TP53	TP53	TP53	TP53	EP300	TP53	TP53	CDKN2A	CDKN2A	TP53	TP53	TP53	TP53	TP53	FBXW7	FAT1	TP53	CASP8	TP53	USH2A	TP53	CDKN2A	TP53	TP53	PIK3CA	TP53	ADCY8	FAT1	TP53	CDKN2A	PIK3CA	LRRTM1	TP53	TP53	PIK3CA	FAT1	TP53	USH2A	CDKN2A	PIK3CA	PPP1R9A	CNTNAP2	NOTCH3	FAT1	PIK3CA	FAT1	PCLO	FAT1	USH2A	TP53	PIK3CA	TP53	TP53	PIK3CA	TP53	FAT1	TP53	PIK3CA	TP53	TP53	TP53	PIK3CA	TP53	PIK3CA	CDH10	PIK3CA	TP53	PIK3R1	TP53	TP53	HRAS	NOTCH3	TP53	EP300	CYLD	PIK3CA	TP53	EP300	FBXW7	TET1	CASP8	PPP1R13L	CDKN2A	FAT1	TP53	CDKN2A	PIK3CA	TP53	NOTCH3	FAT1	FAT1	PIK3CA	CDKN2A	TP53	PIK3CA	TP53	CDKN2A	TP53	SLC28A1	TP53	TP53	TP53	TP53	CASP8	TP53	CASP8	TP53	CDKN2A	TP53	TP53	TP53	FAT1	TP53	PIK3CA	TP53	FAT1	PIK3CA	CDKN2A	ZNF804B	PIK3CA	TRAF3	SYNE1	EP300	PIK3CA	PIK3CA	PCDH15	TP53	FAT1	USH2A	WDR82	CDH10	PRG2	TP53	PIK3CA	ART5	CDKN2A	FAT1	TP53	TP53	TP53	PIK3CA	TP53	PTEN	FAT1	PIK3CA	TP53	TP53	TP53	PIK3CG	TP53	CDKN2A	NOTCH3	FAT1	NOTCH2	TRAF5	FAT1	TP53	ADCY8	FAT1	ECE2	LPA	PIK3CA	PIK3CA	TP53	TP53	PIK3CA	PIK3CA	USH2A	PIK3CA	FAT1	TP53	FAT1	PIK3CA	TP53	TP53	TP53	PIK3CG	PIK3CA	NOTCH3	TP53	FAT1	TP53	CAMK1D	CDKN2A	FAT1	CDKN2A	TP53	TP53	TP53	ELL	PIK3CA	FAT1	PIK3CG	TP53	PIK3CA	TP53	TP53	PIK3CG	MED12	TP53	CDKN2A	FAT1	FAT1	PIK3CA	TP53	TP53	CDKN2A	FAT1	TP53	TGFBR2	FAT1	PIK3CA	CDKN2A	PIK3CA	TGFBR2	TP53	FAT1	CDKN2A	TP53	TP53	LILRB1	CDKN2A	EP300	TP53	TP53	FAT1	TP53	TP53	CDKN2A	CDKN2A	FAT1	TP53	USH2A	TP53	FAT1	CDKN2A	TP53	USH2A	CDKN2A	FAT1	FAT1	TP53	CDKN2A	TP53	PIK3CA	FAT1	PIK3CA	TP53	PIK3CA	PIK3CA	FAT1	FAT1	TP53	TP53	TP53	TP53	FAT1	TP53	CDKN2A	FBXW7	FAT1	NFE2L2	TP53	TP53	TP53	TP53	FAT1	FAT1	PIK3CA	ARID1A	TP53	PIK3CA	FAT1	CDKN2A	FAT1	PIK3CA	APOL4	TP53	PIK3CA	FAT1	TP53	TP53	CDKN2A	PIK3CA	TP53	FAT1	TP53	TP53	TP53	CDKN2A	FAT1	PIK3CA	PPP1R9A	PIK3CA	TP53	TP53	TP53	FAT1	PCIF1	NOTCH3	FAT1	PIK3CA	FAT1	TP53	TP53	TP53	PIK3CA	PPP1R9A	PIK3CA	TP53	PIK3CA	TP53	TP53	CYLD	TP53	TP53	TP53	FAT1	FAT1	CDKN2A	FAT1	TP53	TP53	TP53	NOTCH3	CDKN2A	SI	CNTNAP2	FAT1	PIK3CA	FAT1	TP53	SMG1	FAT1	EP300	TGFBR2	TP53	TP53	PIK3CA	NOTCH3	TP53	PIK3CA	PIK3CA	TP53	TP53	TP53	FAT1	TP53	PPP1R9A	FAT1	FAT1	TP53	PCDH15	TP53	TP53	PIK3CA	TP53	PIK3CA	TP53	NUPL1	PIK3CA	TP53	FAT1	FAT1	TRPM2	TP53	FAT1	TP53	MED12	LRBA	PIK3CA	USH2A	TP53	ANKZF1	TP53	USH2A	TP53	CDKN2A	THSD7A	TP53	THSD7A	MET	TP53	USH2A	FAT1	CASP8	USH2A	TP53	NFKBIA	PIK3CA	TP53	PIK3CA	TP53	TP53	CYLD	PIK3CA	PIK3CG	PPP1R9A	PIK3CA	TP53	CDKN2A	TP53	TP53	SCN11A	SYNE1	TP53	CDKN2A	CDKN2A	HLA-A	CDKN2A	TP53	TP53	CDKN2A	ARID2	TP53	TP53	TP53	FAT1	TP53	TP53	CDKN2A	TP53	PIK3CA	CDKN2A	ARID1A	CASP8	PIK3CA	NOTCH3	SYNE1	SYNE1	NOTCH3	PIK3CA	TP53	PIK3CA	TP53	USH2A	TP53	PIK3CA	FAT1	CRB1	FAT1	TP53	ZNF28	TP53	PIK3CA	TP53	FAT1	TP53	PIK3CA	USH2A	TP53	PIK3CA	UBOX5	FAT1	SMG1
TP53	CDH10	FAT1	PPP1R9A	ARID1A	FAT1	THSD7A	CASP8	TP53	DENND1C	TP53	CASP8	TP53	TP53	EP300	FBXW7	SYNE1	CNTNAP2	USH2A	TP53	TP53	CDKN2A	CDKN2A	LRRTM1	OR2M3	CDH10	TP53	PPP1R9A	MTUS2	TP53	TET1	TP53	TP53	REV3L	CSF1R	TP53	WDR82	PRKCZ	ADCY8	CILP2	WDR35	TRAF3	PPP1R9A	CA3	FBXW7	LAMC1	CDKN2A	ROCK1	THSD7A	FBXW7	CRB1	TP53	PIK3CA	CDH10	NOTCH2	SYNE1	ADCY8	PIK3R1	ZNF804B	CDKN2A	PRSS54	ZC3H11A	MED12L	CDKN2A	SYNE1	CNTNAP2	PIK3CA	MED1	THSD7A	GRM8	PIK3R5	TP53	ZNF804B	TP53	CDKN2A	CSRNP1	CNTNAP2	LRRTM1	TP53	TP53	REV3L	CASP8	TP53	CDKN2A	LRRTM1	KCNH8	SYNE1	TP53	CDKN2A	TP53	DOCK2	TP53	TP53	ELAVL2	TP53	RFPL3	SI	TP53	CDH10	TP53	FBXW7	PIK3CG	EPHA7	CDKN2A	CDKN2A	TP53	USH2A	FBXW7	OR8H3	FAT1	IRF6	RUFY1	THSD7A	PRDM9	DNMT1	TP53	PRDM9	CASP8	CDH23	ARID1A	PPP1R9A	PCDH9	WAC	ZNF479	NFE2L2	WWOX	TP53	FBXW7	PCDH9	TP53	CDKN2A	FBXW7	TP53	TP53	TP53	TP53	TP53	FBXW7	TP53	FAT1	TP53	CDH10	DVL1	CLTCL1	CDKN2A	USH2A	SLC25A22	HRAS	NOTCH3	TGFBR2	SYNE1	TP53	CLEC14A	GRM8	USH2A	CDKN2A	FAT1	FBXW7	SI	TP53	TRAF3	FOLR1	PIK3R1	SYNE1	PDE12	HLA-A	NOTCH3	PPP1R9A	PIK3CD	NLRC5	GK5	TP53	TP53	MAEA	DDX3X	LRRC30	COL1A2	EP300	CWC25	TP53	CDKN2A	CYLD	USH2A	RASA1	THSD7A	SYNE1	LRBA	CDKN2A	USH2A	PURA	SYNE1	PIK3CA	TP53	PCDH15	FAT1	TP53	CASP8	TP53	AP3B1	CDKN2A	PRDM9	ATP5G2	TP53	TEX15	DCAF6	FAT1	FAT1	NKAP	FAT1	TP53	ZNF804B	TP53	QTRTD1	TP53	CDKN2A	USH2A	TP53	EPHA7	SYNE1	CDKN2A	USH2A	SYNE1	SYNE1	CDKN2A	TP53	CRB1	AFF4	TP53	PIK3CG	TP53	NFE2L2	RPGRIP1	CDKN2A	ZNF880	CDKN2A	THSD7A	THSD7A	ZMYM4	TP53	FAT1	PPP1R9A	FAT1	ALOX15B	LAMC1	TP53	CDKN2A	CDKN2A	TP53	PIK3CA	ATM	TP53	PIK3CA	CDKN2A	FGFR2	PIK3CA	TP53	TP53	TP53	CLTCL1	CDKN2A	TP53	TP53	FAT1	SYNE1	CFHR4	FAT1	GPBP1L1	CDKN2A	MED12	TP53	USH2A	PIK3CA	TP53	TP53	HRAS	CDK14	TP53	PTEN	USH2A	TP53	CDKN2A	TP53	TP53	PIK3CA	TP53	SYNE1	TP53	PPP1R9A	PIK3CG	TP53	EGR1	ZNF804B	PCDH9	SYNE1	TP53	TP53	TCHHL1	NRXN3	ZC3H11A	MAP7D2	PIK3CA	SI	TP53	SYNE1	NOTCH2	ARID1A	ARID1A	SYNE1	RICTOR	FARSB	TP53	TP53	USH2A	ERBB3	CDH10	TP53	CDKN2A	TP53	TP53	FAT1	PTPN12	IRF6	FAT1	PPP1R9A	MTOR	KPNA6	USH2A	SYNE1	PIK3CA	TP53	PIK3CG	CDKN2A	CASP8	TP53	CDKN2A	CDKN2A	TP53	CASP8	SYNE1	FAT1	FBXW7	TP53	SOCS6	FAT1	TP53	FAT1	CASP8	PIK3C2A	PCDH15	THSD7A	TP53	USH2A	FAT1	SYNE1	ZNF658	CDKN2A	THSD7A	SOX10	LRRTM1	EPHA7	FAT1	TP53	PIK3CG	TP53	CDKN2A	PCDH15	PPP1R9A	ELSPBP1	ARID1A	USH2A	ZBTB8A	NRXN3	CDKN2A	TP53	TP53	MTOR	BIK	TP53	CYLD	PIK3R1	SYNE1	CC2D1A	TP53	TP53	CDKN2A	USH2A	TP53	LILRB1	SMCHD1	CDON	FBXW7	PPP1R9A	USH2A	PIK3CA	TP53	CDKN2A	PIK3AP1	NOTCH3	CNTNAP2	ATM	SYNE1	NOTCH3	PCDH15	WDFY3	TP53	LRRTM1	CASP8	CDKN2A	VPS8	EP300	COL1A2	RASA1	HRAS	DDX4	FAT1	TP53	TGFBR2	ARHGEF12	TGFBR2	TP53	PRSS33	TP53	SYNE1	SYNE1	LAMC1	SPATA20	EPHA7	PTPRF	CDKN2A	CLTCL1	CASP8	PTEN	WDR1	PIK3CD	EP300	PPP1R9A	USH2A	CDKN2A	EIF1B	NFE2L2	DDX3X	SYNE1	TP53	CASP8	TP53	USH2A	REV3L	OR4D10	TP53	PDE11A	TP53	TP53	FBXW12	TP53	DDX3X	FAT1	TP53	MCTP1	PCDH15	PLXNA2	CRB1	USH2A	ADAMTS12	NLRC5	USH2A	CLTCL1	TP53	TP53	DDX3X	HRAS	TP53	PTEN	TGFBR2	TP53	NFE2L2	PCDH15	ZNF658	NFE2L2	PCDH11Y	TP53	SYNE1	TP53	USH2A	SI	PIK3CA	PRDM9	HOXD9	PLXNA2	TP53	ABCC8	TP53	REV3L	FAT1	TP53	FAT1	PIK3CG	STK38L	TP53	TSNARE1
