Top_N,Precision,Recall,F1_Score,Patient_Count
1,0.921420,0.390450,0.515931,789
2,0.800127,0.614908,0.655381,788
3,0.684926,0.744029,0.674781,785
4,0.572704,0.803795,0.633824,784
5,0.484949,0.833456,0.582139,784
