Top_N,Precision,Recall,F1_Score,Patient_Count
1,1.000000,0.009009,0.017857,267
2,1.000000,0.018018,0.035398,267
3,1.000000,0.027027,0.052632,267
4,1.000000,0.036036,0.069565,267
5,1.000000,0.045045,0.086207,267
