Top_N,Precision,Recall,F1_Score,Patient_Count
1,1.000000,0.006098,0.012121,789
2,1.000000,0.012195,0.024096,789
3,0.666667,0.012195,0.023952,789
4,0.750000,0.018293,0.035714,789
5,0.800000,0.024390,0.047337,789
