Top_N,Precision,Recall,F1_Score,Patient_Count
1,0.235656,0.167691,0.186885,488
2,0.167008,0.230704,0.183811,488
3,0.131831,0.268613,0.168335,488
4,0.111284,0.306246,0.156191,483
5,0.102075,0.352178,0.152094,482
