Top_N,Precision,Recall,F1_Score,Patient_Count
1,0.792490,0.142017,0.221083,506
2,0.580040,0.217986,0.282461,506
3,0.506588,0.288113,0.322089,506
4,0.465415,0.334926,0.341060,506
5,0.432806,0.376594,0.353524,506
