Top_N,Precision,Recall,F1_Score,Patient_Count
1,0.746819,0.319507,0.416284,786
2,0.559160,0.447191,0.458081,786
3,0.451654,0.527667,0.447953,786
4,0.384885,0.591817,0.430303,784
5,0.337245,0.643306,0.409580,784
