Top_N,Precision,Recall,F1_Score,Patient_Count
1,0.925094,0.158623,0.260231,267
2,0.842697,0.290593,0.410732,267
3,0.765293,0.397466,0.495304,267
4,0.691948,0.466835,0.526186,267
5,0.617228,0.508665,0.525232,267
