Top_N,Precision,Recall,F1_Score,Patient_Count
1,0.843373,0.263642,0.372268,498
2,0.589357,0.352936,0.404101,498
3,0.485944,0.422442,0.413755,498
4,0.415161,0.463406,0.401719,498
5,0.361446,0.493563,0.383717,498
