Top_N,Precision,Recall,F1_Score,Patient_Count
1,0.538755,0.244209,0.312029,787
2,0.397713,0.349565,0.342959,787
3,0.318414,0.407852,0.329210,782
4,0.267053,0.446202,0.308870,777
5,0.230789,0.478986,0.289034,773
