Top_N,Precision,Recall,F1_Score,Patient_Count
1,0.554307,0.103258,0.165198,267
2,0.404494,0.149720,0.202399,267
3,0.320849,0.175132,0.208525,267
4,0.268727,0.191803,0.205364,267
5,0.235206,0.206382,0.201510,267
