Top_N,Precision,Recall,F1_Score,Patient_Count
1,0.541082,0.188740,0.260455,499
2,0.378514,0.256987,0.279800,498
3,0.303152,0.296764,0.272683,497
4,0.252515,0.329876,0.260329,497
5,0.223340,0.361821,0.252165,497
