Top_N,Precision,Recall,F1_Score,Patient_Count
1,0.207317,0.175813,0.185230,492
2,0.127310,0.211499,0.154209,487
3,0.097917,0.239410,0.134841,480
4,0.080338,0.257576,0.118917,473
5,0.070386,0.279685,0.109536,466
