Top_N,Precision,Recall,F1_Score,Patient_Count
1,0.374016,0.081612,0.119971,508
2,0.338933,0.136024,0.169590,506
3,0.299736,0.177642,0.193992,506
4,0.264328,0.213079,0.204212,506
5,0.235644,0.230306,0.201505,505
