TCGA-2A-A8VL-01	TCGA-2A-A8VO-01	TCGA-2A-A8VT-01	TCGA-2A-A8VV-01	TCGA-2A-A8VX-01	TCGA-2A-A8W1-01	TCGA-2A-A8W3-01	TCGA-2A-AAYF-01	TCGA-2A-AAYO-01	TCGA-2A-AAYU-01	TCGA-4L-AA1F-01	TCGA-CH-5737-01	TCGA-CH-5738-01	TCGA-CH-5739-01	TCGA-CH-5740-01	TCGA-CH-5741-01	TCGA-CH-5744-01	TCGA-CH-5745-01	TCGA-CH-5746-01	TCGA-CH-5748-01	TCGA-CH-5750-01	TCGA-CH-5751-01	TCGA-CH-5752-01	TCGA-CH-5753-01	TCGA-CH-5754-01	TCGA-CH-5761-01	TCGA-CH-5762-01	TCGA-CH-5763-01	TCGA-CH-5764-01	TCGA-CH-5765-01	TCGA-CH-5766-01	TCGA-CH-5767-01	TCGA-CH-5768-01	TCGA-CH-5769-01	TCGA-CH-5771-01	TCGA-CH-5772-01	TCGA-CH-5788-01	TCGA-CH-5789-01	TCGA-CH-5790-01	TCGA-CH-5791-01	TCGA-CH-5792-01	TCGA-CH-5794-01	TCGA-EJ-5494-01	TCGA-EJ-5495-01	TCGA-EJ-5496-01	TCGA-EJ-5497-01	TCGA-EJ-5498-01	TCGA-EJ-5499-01	TCGA-EJ-5501-01	TCGA-EJ-5502-01	TCGA-EJ-5503-01	TCGA-EJ-5504-01	TCGA-EJ-5505-01	TCGA-EJ-5506-01	TCGA-EJ-5507-01	TCGA-EJ-5508-01	TCGA-EJ-5509-01	TCGA-EJ-5510-01	TCGA-EJ-5511-01	TCGA-EJ-5512-01	TCGA-EJ-5514-01	TCGA-EJ-5515-01	TCGA-EJ-5516-01	TCGA-EJ-5517-01	TCGA-EJ-5518-01	TCGA-EJ-5519-01	TCGA-EJ-5521-01	TCGA-EJ-5522-01	TCGA-EJ-5524-01	TCGA-EJ-5525-01	TCGA-EJ-5526-01	TCGA-EJ-5527-01	TCGA-EJ-5530-01	TCGA-EJ-5531-01	TCGA-EJ-5532-01	TCGA-EJ-5542-01	TCGA-EJ-7115-01	TCGA-EJ-7123-01	TCGA-EJ-7125-01	TCGA-EJ-7218-01	TCGA-EJ-7312-01	TCGA-EJ-7314-01	TCGA-EJ-7315-01	TCGA-EJ-7317-01	TCGA-EJ-7318-01	TCGA-EJ-7321-01	TCGA-EJ-7325-01	TCGA-EJ-7327-01	TCGA-EJ-7328-01	TCGA-EJ-7330-01	TCGA-EJ-7331-01	TCGA-EJ-7781-01	TCGA-EJ-7782-01	TCGA-EJ-7783-01	TCGA-EJ-7784-01	TCGA-EJ-7785-01	TCGA-EJ-7786-01	TCGA-EJ-7788-01	TCGA-EJ-7789-01	TCGA-EJ-7791-01	TCGA-EJ-7792-01	TCGA-EJ-7793-01	TCGA-EJ-7794-01	TCGA-EJ-7797-01	TCGA-EJ-8468-01	TCGA-EJ-8469-01	TCGA-EJ-8470-01	TCGA-EJ-8472-01	TCGA-EJ-8474-01	TCGA-EJ-A46B-01	TCGA-EJ-A46D-01	TCGA-EJ-A46E-01	TCGA-EJ-A46F-01	TCGA-EJ-A46G-01	TCGA-EJ-A46H-01	TCGA-EJ-A46I-01	TCGA-EJ-A65B-01	TCGA-EJ-A65D-01	TCGA-EJ-A65E-01	TCGA-EJ-A65F-01	TCGA-EJ-A65G-01	TCGA-EJ-A65J-01	TCGA-EJ-A65M-01	TCGA-EJ-A6RA-01	TCGA-EJ-A6RC-01	TCGA-EJ-A7NF-01	TCGA-EJ-A7NG-01	TCGA-EJ-A7NH-01	TCGA-EJ-A7NJ-01	TCGA-EJ-A7NK-01	TCGA-EJ-A7NM-01	TCGA-EJ-A7NN-01	TCGA-EJ-A8FN-01	TCGA-EJ-A8FO-01	TCGA-EJ-A8FP-01	TCGA-EJ-A8FS-01	TCGA-EJ-A8FU-01	TCGA-EJ-AB20-01	TCGA-EJ-AB27-01	TCGA-FC-7708-01	TCGA-FC-7961-01	TCGA-FC-A4JI-01	TCGA-FC-A5OB-01	TCGA-FC-A66V-01	TCGA-FC-A6HD-01	TCGA-FC-A8O0-01	TCGA-G9-6329-01	TCGA-G9-6332-01	TCGA-G9-6333-01	TCGA-G9-6336-01	TCGA-G9-6338-01	TCGA-G9-6339-01	TCGA-G9-6342-01	TCGA-G9-6343-01	TCGA-G9-6347-01	TCGA-G9-6348-01	TCGA-G9-6351-01	TCGA-G9-6353-01	TCGA-G9-6354-01	TCGA-G9-6356-01	TCGA-G9-6361-01	TCGA-G9-6362-01	TCGA-G9-6363-01	TCGA-G9-6364-01	TCGA-G9-6365-01	TCGA-G9-6366-01	TCGA-G9-6367-01	TCGA-G9-6369-01	TCGA-G9-6370-01	TCGA-G9-6371-01	TCGA-G9-6373-01	TCGA-G9-6377-01	TCGA-G9-6378-01	TCGA-G9-6379-01	TCGA-G9-6384-01	TCGA-G9-6385-01	TCGA-G9-6494-01	TCGA-G9-6496-01	TCGA-G9-6498-01	TCGA-G9-6499-01	TCGA-G9-7509-01	TCGA-G9-7510-01	TCGA-G9-7519-01	TCGA-G9-7521-01	TCGA-G9-7522-01	TCGA-G9-7523-01	TCGA-G9-7525-01	TCGA-G9-A9S0-01	TCGA-G9-A9S4-01	TCGA-G9-A9S7-01	TCGA-H9-7775-01	TCGA-H9-A6BX-01	TCGA-H9-A6BY-01	TCGA-HC-7075-01	TCGA-HC-7077-01	TCGA-HC-7078-01	TCGA-HC-7080-01	TCGA-HC-7081-01	TCGA-HC-7209-01	TCGA-HC-7210-01	TCGA-HC-7211-01	TCGA-HC-7212-01	TCGA-HC-7213-01	TCGA-HC-7230-01	TCGA-HC-7231-01	TCGA-HC-7232-01	TCGA-HC-7233-01	TCGA-HC-7736-01	TCGA-HC-7737-01	TCGA-HC-7738-01	TCGA-HC-7740-01	TCGA-HC-7742-01	TCGA-HC-7744-01	TCGA-HC-7745-01	TCGA-HC-7747-01	TCGA-HC-7748-01	TCGA-HC-7749-01	TCGA-HC-7750-01	TCGA-HC-7752-01	TCGA-HC-7817-01	TCGA-HC-7818-01	TCGA-HC-7819-01	TCGA-HC-7820-01	TCGA-HC-7821-01	TCGA-HC-8213-01	TCGA-HC-8216-01	TCGA-HC-8256-01	TCGA-HC-8257-01	TCGA-HC-8258-01	TCGA-HC-8259-01	TCGA-HC-8260-01	TCGA-HC-8261-01	TCGA-HC-8262-01	TCGA-HC-8264-01	TCGA-HC-8265-01	TCGA-HC-8266-01	TCGA-HC-A48F-01	TCGA-HC-A4ZV-01	TCGA-HC-A631-01	TCGA-HC-A632-01	TCGA-HC-A6AL-01	TCGA-HC-A6AN-01	TCGA-HC-A6AO-01	TCGA-HC-A6AP-01	TCGA-HC-A6AQ-01	TCGA-HC-A6AS-01	TCGA-HC-A6HX-01	TCGA-HC-A6HY-01	TCGA-HC-A76W-01	TCGA-HC-A76X-01	TCGA-HC-A8CY-01	TCGA-HC-A8D0-01	TCGA-HC-A8D1-01	TCGA-HC-A9TE-01	TCGA-HC-A9TH-01	TCGA-HI-7168-01	TCGA-HI-7169-01	TCGA-HI-7170-01	TCGA-HI-7171-01	TCGA-J4-8198-01	TCGA-J4-8200-01	TCGA-J4-A67K-01	TCGA-J4-A67L-01	TCGA-J4-A67M-01	TCGA-J4-A67N-01	TCGA-J4-A67O-01	TCGA-J4-A67Q-01	TCGA-J4-A67R-01	TCGA-J4-A67S-01	TCGA-J4-A67T-01	TCGA-J4-A6G1-01	TCGA-J4-A6G3-01	TCGA-J4-A6M7-01	TCGA-J4-A83I-01	TCGA-J4-A83J-01	TCGA-J4-A83K-01	TCGA-J4-A83L-01	TCGA-J4-A83M-01	TCGA-J4-A83N-01	TCGA-J4-AATV-01	TCGA-J4-AATZ-01	TCGA-J4-AAU2-01	TCGA-J9-A52B-01	TCGA-J9-A52C-01	TCGA-J9-A52D-01	TCGA-J9-A52E-01	TCGA-J9-A8CK-01	TCGA-J9-A8CL-01	TCGA-J9-A8CM-01	TCGA-J9-A8CN-01	TCGA-J9-A8CP-01	TCGA-KC-A4BL-01	TCGA-KC-A4BN-01	TCGA-KC-A4BR-01	TCGA-KC-A4BV-01	TCGA-KC-A7F3-01	TCGA-KC-A7F5-01	TCGA-KC-A7F6-01	TCGA-KC-A7FA-01	TCGA-KC-A7FD-01	TCGA-KC-A7FE-01	TCGA-KK-A59V-01	TCGA-KK-A59X-01	TCGA-KK-A59Y-01	TCGA-KK-A59Z-01	TCGA-KK-A5A1-01	TCGA-KK-A6DY-01	TCGA-KK-A6E0-01	TCGA-KK-A6E1-01	TCGA-KK-A6E2-01	TCGA-KK-A6E3-01	TCGA-KK-A6E4-01	TCGA-KK-A6E5-01	TCGA-KK-A6E6-01	TCGA-KK-A6E7-01	TCGA-KK-A6E8-01	TCGA-KK-A7AP-01	TCGA-KK-A7AQ-01	TCGA-KK-A7AU-01	TCGA-KK-A7AV-01	TCGA-KK-A7AW-01	TCGA-KK-A7AY-01	TCGA-KK-A7AZ-01	TCGA-KK-A7B0-01	TCGA-KK-A7B1-01	TCGA-KK-A7B2-01	TCGA-KK-A7B3-01	TCGA-KK-A7B4-01	TCGA-KK-A8I4-01	TCGA-KK-A8I5-01	TCGA-KK-A8I6-01	TCGA-KK-A8I7-01	TCGA-KK-A8I8-01	TCGA-KK-A8I9-01	TCGA-KK-A8IA-01	TCGA-KK-A8IB-01	TCGA-KK-A8IC-01	TCGA-KK-A8ID-01	TCGA-KK-A8IF-01	TCGA-KK-A8IG-01	TCGA-KK-A8IH-01	TCGA-KK-A8II-01	TCGA-KK-A8IJ-01	TCGA-KK-A8IK-01	TCGA-KK-A8IL-01	TCGA-KK-A8IM-01	TCGA-M7-A71Y-01	TCGA-M7-A71Z-01	TCGA-M7-A720-01	TCGA-M7-A721-01	TCGA-M7-A722-01	TCGA-M7-A723-01	TCGA-M7-A724-01	TCGA-M7-A725-01	TCGA-MG-AAMC-01	TCGA-QU-A6IL-01	TCGA-QU-A6IM-01	TCGA-QU-A6IN-01	TCGA-QU-A6IO-01	TCGA-QU-A6IP-01	TCGA-SU-A7E7-01	TCGA-TK-A8OK-01	TCGA-TP-A8TT-01	TCGA-TP-A8TV-01	TCGA-V1-A8MF-01	TCGA-V1-A8MG-01	TCGA-V1-A8MJ-01	TCGA-V1-A8MK-01	TCGA-V1-A8ML-01	TCGA-V1-A8MM-01	TCGA-V1-A8MU-01	TCGA-V1-A8WL-01	TCGA-V1-A8WN-01	TCGA-V1-A8WS-01	TCGA-V1-A8WV-01	TCGA-V1-A8WW-01	TCGA-V1-A8X3-01	TCGA-V1-A9O5-01	TCGA-V1-A9O7-01	TCGA-V1-A9O9-01	TCGA-V1-A9OA-01	TCGA-V1-A9OF-01	TCGA-V1-A9OH-01	TCGA-V1-A9OL-01	TCGA-V1-A9OQ-01	TCGA-V1-A9OT-01	TCGA-V1-A9OX-01	TCGA-V1-A9OY-01	TCGA-V1-A9Z7-01	TCGA-V1-A9Z8-01	TCGA-V1-A9Z9-01	TCGA-V1-A9ZG-01	TCGA-V1-A9ZI-01	TCGA-V1-A9ZK-01	TCGA-V1-A9ZR-01	TCGA-VN-A88I-01	TCGA-VN-A88K-01	TCGA-VN-A88L-01	TCGA-VN-A88M-01	TCGA-VN-A88N-01	TCGA-VN-A88O-01	TCGA-VN-A88P-01	TCGA-VN-A88Q-01	TCGA-VN-A88R-01	TCGA-VN-A943-01	TCGA-VP-A872-01	TCGA-VP-A875-01	TCGA-VP-A876-01	TCGA-VP-A878-01	TCGA-VP-A879-01	TCGA-VP-A87B-01	TCGA-VP-A87C-01	TCGA-VP-A87D-01	TCGA-VP-A87E-01	TCGA-VP-A87H-01	TCGA-VP-A87J-01	TCGA-VP-A87K-01	TCGA-VP-AA1N-01	TCGA-WW-A8ZI-01	TCGA-X4-A8KQ-01	TCGA-X4-A8KS-01	TCGA-XA-A8JR-01	TCGA-XJ-A83F-01	TCGA-XJ-A83G-01	TCGA-XJ-A83H-01	TCGA-XJ-A9DI-01	TCGA-XJ-A9DK-01	TCGA-XJ-A9DQ-01	TCGA-XJ-A9DX-01	TCGA-XK-AAIR-01	TCGA-XK-AAIV-01	TCGA-XK-AAIW-01	TCGA-XK-AAJ3-01	TCGA-XK-AAJA-01	TCGA-XK-AAJP-01	TCGA-XK-AAJR-01	TCGA-XK-AAJT-01	TCGA-XK-AAK1-01	TCGA-XQ-A8TA-01	TCGA-XQ-A8TB-01	TCGA-Y6-A8TL-01	TCGA-Y6-A9XI-01	TCGA-YJ-A8SW-01	TCGA-YL-A8HJ-01	TCGA-YL-A8HK-01	TCGA-YL-A8HL-01	TCGA-YL-A8HM-01	TCGA-YL-A8HO-01	TCGA-YL-A8S8-01	TCGA-YL-A8S9-01	TCGA-YL-A8SA-01	TCGA-YL-A8SB-01	TCGA-YL-A8SC-01	TCGA-YL-A8SF-01	TCGA-YL-A8SH-01	TCGA-YL-A8SI-01	TCGA-YL-A8SJ-01	TCGA-YL-A8SK-01	TCGA-YL-A8SL-01	TCGA-YL-A8SO-01	TCGA-YL-A8SP-01	TCGA-YL-A8SQ-01	TCGA-YL-A8SR-01	TCGA-YL-A9WH-01	TCGA-YL-A9WI-01	TCGA-YL-A9WJ-01	TCGA-YL-A9WK-01	TCGA-YL-A9WL-01	TCGA-YL-A9WX-01	TCGA-YL-A9WY-01	TCGA-ZG-A8QW-01	TCGA-ZG-A8QX-01	TCGA-ZG-A8QY-01	TCGA-ZG-A8QZ-01	TCGA-ZG-A9KY-01	TCGA-ZG-A9L0-01	TCGA-ZG-A9L1-01	TCGA-ZG-A9L2-01	TCGA-ZG-A9L4-01	TCGA-ZG-A9L5-01	TCGA-ZG-A9L6-01	TCGA-ZG-A9L9-01	TCGA-ZG-A9LB-01	TCGA-ZG-A9LM-01	TCGA-ZG-A9LN-01	TCGA-ZG-A9LS-01	TCGA-ZG-A9LU-01	TCGA-ZG-A9LY-01	TCGA-ZG-A9LZ-01	TCGA-ZG-A9M4-01	TCGA-ZG-A9MC-01	TCGA-ZG-A9N3-01	TCGA-ZG-A9ND-01	TCGA-ZG-A9NI-01
GGT7	AQP5	TP53	PKHD1L1	FOXA1	LRRC43	SCO1	HSP90AA1	OR6X1	ANGPTL5	PTEN	ATM	ADAMTS1	RPE65	PTEN	ZMYM3	EBF2	NKX3-1	CHPF	MED12	BRPF1	SOD3	CDKN1B	OR4C16	BRCA2	TP53	ATM	ZNF441	BRCA2	NRCAM	SIX1	NKX3-1	BTNL3	TRPV4	MSC	ZMYM3	SPOP	LTBP1	KCNB2	PTEN	KEAP1	NKX3-1	FOXA1	BRCA2	CSMD1	CCDC142	SERPINB5	FBF1	TMC3	HSD17B3	ZBTB17	PRPH2	SPOP	HIVEP2	TP53	DNM1L	SPOP	MED12	ATM	GADD45G	TP53	RC3H2	VSIG4	PSRC1	ATM	PIAS3	TP53	ROBO2	ABCA12	TP53	CXCL16	SURF4	NKX3-1	SPOP	PUM1	PRG3	SPOP	SPOP	IDH1	UTP11L	ITCH	LARS	TP53	KDM6A	KIAA1211	MYBPHL	APC	PTEN	BRCA2	FOXA1	KDM6A	TP53	TP53	ATM	ATM	TMEM132E	CDKN1B	HEATR5B	FOXA1	PTEN	BACE2	PREX1	SCN2A	PPM1K	SPOP	PCDHGC5	DNAH3	TP53	OPN5	TELO2	SERPIND1	FGF16	FAM89B	CDK12	UVRAG	ATP2B2	MLH1	CTNNB1	SPOP	EPHA7	KIAA1045	ZFHX3	SPOP	WDR76	DNAH3	SASH1	MYO5B	TP53	HRAS	PBRM1	ZFHX3	NEU2	SASS6	ABCA13	TAP1	APC	FMN2	FYN	PKD1L1	SLC16A13	PTEN	FOXA1	EIF5A2		SLC2A8	AR	ESF1	OR10G8	SPOP	RASGRF1	SPOP	PRAMEF12	PAK2	EFCAB6	OR8K1	GALNT13	FOXA1	HIVEP3	ZNF19	ZNF678	AKAP9	ZMYM3	EXOC2	CD68	OPN5	PTEN	ADAMTS2	SPOP		EXOC2	ZFYVE16	SYNPO2	C1orf110	SLC14A2	RASGRF1	APBB1	COL16A1	FBLN2	BRAF	TP53	CHD5	ATM	MED12	TP53	KCNU1	IDH1	DAB2IP	TP53	TP53	PCDHA8	LRFN4	CCBL1	ABCA12	FSTL5	KCNQ2	PIK3CA	SPOP	PIK3CA	LDB3	FOXA1	ZNF395	KDM6A	TP53	TP53	FOXK2	TTLL6	ZRANB1	PVRL1	ALKBH4	CTNNB1	GMCL1	TP53	NCOR1	DNAH8	PRKAG1	PAPPA	NCF4	OTUB1	PNPLA6	KLHL12	NRCAM	APC	ADAD2	GJB5	CDH12	TP53	THEMIS	C16orf70	SPOP	CCNJ	ATM	SPOP	CTNNB1	TP53	CDK12	PDE3B	TP53	ATM	TP53	TP53	PTEN	PIK3CA	FOXA1	FOXA1	COLEC10	RPS27A	CDK12	OR5B2	ZMYM3	NOP58	ZC3H13	APC	CLPTM1	TP53	TP53	HRAS	LBR	PRKAG1	TP53	FMN2	TUSC1	BNC2	TP53	UNC5B	GNGT1	MGA	ATM	C1orf173	ARHGAP25	ZC3H13	RBM17	SPOP	PDE1B	RIMBP3	SPOP	SH3TC2	MRVI1	AKT1	SEC31B	CAPN6	CDH12	KCNB2	TP53	ZFHX3	SPOP	SI	TP53	PIK3CA	BRCA2	MACF1	FOXA1	ARID1A	BAHD1	HIST1H2BG	PTEN	BRPF1	SPOP	TP53	TP53	ZFHX3	METTL4	ZMYM3	SPOP	CLCNKB	SPOP	CDK12	TP53	SPOP	PTEN	ZMYM3	TMPRSS2	ZNF804B	FAM179A	C10orf53	PTEN	KDM6A	LCN15	SPOP	TP53	PCDHB1	RALGDS	PDZK1	PPP2CA	SPOP	AADAT	ZMYM3	MBD1	TP53	FBF1	DNAH3	PTEN	TDP1	HSP90AA1	SPOP	RAC3	FOXA1	ERC1	CDK12	ATM	TP53	PIK3CB	TTC39B	KIAA1109	FOXA1	RIMBP2	IL12B	DNAH5	SEMA7A	APOL6	RGS6	FOXA1	EPHA8	ZFYVE16	ATM	AKAP9	FOXA1	SPOP	FOXA1	YY1AP1	TTC21A	EPN2	FOXA1	TNS4	SPOP	LRRFIP1	MTMR2	TP53	FCRL5	KDM6A	APC	BRAF	EXOC1	KCNC4	RALGPS1	NCOR2	AKT1	ACVRL1	TP53	ATM	OSBPL11	USP22	SPOP	BRCA2	NCOR2	FOXA1	MTUS1	SPOP	EMR2	TP53	RB1	AKAP9	ZFHX3	TP53	SPOP	ERF	TNRC6A	ATM	SMTNL1	RNF213	HRAS	SPOP	IL10	GABRA4	SPOP	USP44	TP53	AR	TP53	SPOP	TARBP1	SPOP	ARNTL2	TP53	ZFHX3	CTNNB1	MED12	ZAP70	FOXA1	CDH12	RNF43	SPOP	KDM6A	GTPBP3	SPOP	CHD1	DOCK2	GABRG2	RNMT	LNPEP	KCNQ2	NUDT7	TP53	SPOP	MSH2	CALCR	ZFHX3	PLEKHH2	KDM6A	APC	HHEX	SPOP	SSPO	PGBD1	ZBTB16	TP53	TP53	SPOP	FAM120A	APC	FOXA1	SYCE2	TP53	ATM	DOCK9	ATM	C1orf173	TP53	S100A8	PIK3CB	SPOP	PDZD2	LRFN4	BLCAP	TP53	APC	FSTL5	TP53	KCNA2	TP53	TP53	CYP4F11	SPOP	SPOP	ROBO2	CDK12	TP53	TP53	PTEN	HIC1	RARB	SPOP	KLHDC8B	FOXA1	TP53	KIAA1211	CALCR	NHS	BRPF1	DMGDH	TP53	FAM135B	ATM	SPOP	PDZRN4
FRS3	GRIN2B	CD40	AGAP4	ZFHX3	OR10J5	TACC2	SCN3A	REM2	NETO2	NET1	FOXA1	VSIG8	CRNN	TMPRSS2	C11orf70	LDLR	CHRD	HIST3H3	SNX18	EPB41L4A	DNAH1	TMED9	BCAN	RIMBP3	CHD1L	LRFN4	LRIG3	SIGLEC1	FLG	PSMD6	CHD1	ZNF276	LRIT3	POTEE	MYH1	CHD1	GABRR2	OR10A4	SIGLEC1	LHCGR	XRCC6	CTNNB1	LOX	TRIM36	KRBA1	PON1	DNAH8	SIX1	OTOF	MEGF8	ICK	BRAF	STAT3	ZFHX3	ASTN1	KDM6A	FREM2	AKAP9	PLA2G4A	RIOK1	CLK3	VPS13D	TAF1D	CDKN1B	GNB5	RTP3	ASCC3	ARHGEF10L	CTNNB1	BSN	GRIK4	AKT1	ACSM2B	ASTN1	EXTL3	MRGPRX2	ADAMTS2	FAM188B	RFX2	ACCSL	SERPIND1	CLSTN2	HIST1H2BN	GRIN3A	MUC17	KRTAP1-3	ROBO2	TRIM68	SPOP	PARVG	DAPK1	FOXA1	PCDHB4	CDK12	CRYBB3	BSN	DNAH1	SSH3	UBR5	CLCN4	SON	PTPRA	WDR60	CHD1	SOX7	PDCD6	GPR87	TRPM2		WDFY3	SRPX2	FLG	KEAP1	FOXB2	XPO4	RAD17	PIK3CA	BRAF	TACC2	CT47B1	GZMK	LPAR3	KIAA1429	TEX264	UTRN	ULK4	EIF3L	FAM134C	SEZ6L	MTMR2	ABCA9	STRBP	OPCML	PPP1R16B	SPOP	TMEM71	LPPR4	RNF138	HIST1H2BG	SPOP	KBTBD7	PAQR8		CUTA	PARP11	TTC13	OR4C3	INPP5D	SUSD2	CDH3	P2RX5	GPS2	POLR3A	PCDHA7	MFN2	SHOX	PCDHA4	GPS2	HLA-F	HRAS	SLC10A2	TMEM132D	TMEM184C	LRRC43	POTEC	RBM15	ITGA6		ITGBL1	BAZ2B	TCERG1L	PRRG1	LZTS2	ST5	PCDHGB7	PFN2	TWF1	PIK3CB	ITGB4	TMEM164	TP53	XRCC6	ATM	AHNAK	FREM2	IVNS1ABP	COL11A1	SASS6	PNRC1	EXOSC10	SETD2	DNAH1	PREP	HECTD2	RECQL5	UNC5B	TTLL8	EXOC2	ABCA9	MED15	CTNNB1	PSG4	PTEN	CPPED1	KIF2B	NEUROG1	MFSD5	FAM181A	ZFHX3	SMARCC2	BRAF	RIMBP3	HIST1H4B	IREB2	UBD	YLPM1	GRIN2A	C1orf173	PNMA2	CHCHD2	RNF43	CLCNKB	OTUD7A	CACNA1E	ARMC2	PCDH19	LAIR1	NOMO3	DUSP8	ZCCHC14	NCOR1	BEND3	ZNF628	FOXA1	GRIN2B	ZBTB16	BRCA2	LPPR3	APC	MED12	DCC	GPATCH4	SPOP	RAB3C	NDUFV1	FAM47C	KLHL30	ACE2	GRIN2A	S1PR4	TMPRSS2	LRRK2	NME5	PIK3CA	OR5L1	ADAMTS17	RERE	CDH2	C6	ST8SIA4	CHDH	HK3	DNAH10	SORT1	FRMD3	SF3B5	TNK1	NARS2	FAM135B	USP48	CDKL4	OTOF	COL11A1	MAP3K8	ZSCAN16	COL12A1	MED15	CCDC73	IKZF3	ZNF23	FGF16	ANKRD37	ERF	CHD1	MAFF	CADM3	MFSD9	WDR46	TRAF2	FAM194A	TFDP1	SLC30A4	SERPINB3	ZMYM3	DLEC1	FOXA1	ADAMTS2	NPY5R	ZNF317	CD48	ERF	CDK12	GRIN2B	METTL6	DCAF13	CTNNB1	BCL2L13	CCDC70	RNASE7	GRIN2B	EXTL3	VTA1	DNAH10	IDH1	FOXA1	PIK3CD	KIF5A	PCDHGB1	SND1	USP24	IQCA1	SCARB2	CHD1	MACF1	GATC	TMEM132E	OR13C3	EDN3	JAKMIP1	FLNA	SMAD5	GJB2	NIPAL1	FCRL6	ZC3H13	OR6N2	XPO7	FOXA1	ATM	CES1	EPAS1	PSMC2	SPOP	SLITRK3	TEX14	NRCAM	MACF1	WASF1	TMEM132E	CTNNB1	MYO1E	PARD3B	ADAMTS13	TMEM132E	NOTCH3	EPHA7	PIK3CA	C9orf96	NXF3	FAT2	C11orf24	ZNF398	STAMBPL1	SKIV2L	C6	DNAH3	DSP	DAAM1	FOXA1	OR4K2	EPB41L4A	CYP2C9	WDR33	MBD1	LYST	CDH23	PHC1	RIMBP2	RPP30	ADCK5	MGA	C8B	GTSF1L	CDKN1B	SEMA5A	TMPRSS2	PDP1	IREB2	ANO5	PTEN	CPT1B	GLYATL2	MACF1	C6orf89	ZC3H13	PDILT	HHAT	KCNA10	ZNF568	NIPSNAP3B	ZBTB20	TMEM132D	DAAM1	LSAMP	MOGAT2	SLC37A1	FIGF	CHID1	ZFAND1	AP4B1	INPPL1	BCAN	AKAP11	PIK3CA	CDKN1B	KIAA2026	KLHL22	GRIN2B	NCOR2	NWD1	ACTR5	MYH15	MINA	TEX14	MFHAS1	SYT10	DUOX2	SACS	CREB3L4	KRBA1	KDM6A	APC	SCAPER	ROBO2	NBN	GABRB2	MMACHC	BRCA1	MARK2	AP4B1	TAF1D	TNFRSF21	DDX41	CCRL2	CEP57	TP53	GRIN2A	SPOP	ATM	PCDHB1	ERF	ZBTB39	CPA2	SPOP	COL11A1	PMPCA	LILRA1	CHST12	APC	POTEF	DNAH5	C1orf87	ZFHX3	FOXA1	ADD2	MYH11	LGI4	CUL2	MED12	NDST2	MACF1	BRAF	ZNF628	PIGG	SPOP	MARCH7	OTC	CIITA	KRTAP9-4	IGFN1	NET1	TP53	DMTF1	PHC1	ABCA8	RALGAPB	PNLIP	SIGLEC1	KDM6A	ZNF646	CYP11B1	C9orf91	NEU2
