Top_N,Precision,Recall,F1_Score,Patient_Count
1,0.628821,0.169590,0.244639,458
2,0.521834,0.264836,0.317470,458
3,0.385735,0.291376,0.299520,458
4,0.342105,0.330744,0.303133,456
5,0.316740,0.373932,0.309241,454
