Top_N,Precision,Recall,F1_Score,Patient_Count
1,0.782407,0.171883,0.274489,216
2,0.731481,0.324611,0.432100,216
3,0.535494,0.350995,0.406399,216
4,0.480324,0.416350,0.427975,216
5,0.454630,0.497669,0.455405,216
