Top_N,Precision,Recall,F1_Score,Patient_Count
1,0.198276,0.153915,0.166995,464
2,0.153680,0.240620,0.180772,462
3,0.123268,0.284282,0.165975,457
4,0.106095,0.323175,0.154520,443
5,0.092019,0.347809,0.141244,426
