Top_N,Precision,Recall,F1_Score,Patient_Count
1,0.553061,0.225280,0.298941,490
2,0.535714,0.443277,0.446693,490
3,0.377641,0.460738,0.382723,489
4,0.328221,0.522516,0.373864,489
5,0.294262,0.567408,0.360488,488
