Top_N,Precision,Recall,F1_Score,Patient_Count
1,0.638158,0.303502,0.387175,760
2,0.547431,0.504214,0.490783,759
3,0.414570,0.561324,0.447324,755
4,0.355121,0.624419,0.426806,742
5,0.307713,0.665366,0.397967,726
